"chain","object","baseline_digest","extended_prefix_digest","maximum_absolute_difference","bitwise_identical","pass"
1,"lower_draws","fb4e333740fcea62541e173649bab39106da14a3e879c7e04c5745800066b6e9","fb4e333740fcea62541e173649bab39106da14a3e879c7e04c5745800066b6e9",0,TRUE,TRUE
1,"scalar_draws","7948f7517f9ff730997adc4d309fa5dbe7d0272e187ec6c02db79732d9e0c379","7948f7517f9ff730997adc4d309fa5dbe7d0272e187ec6c02db79732d9e0c379",0,TRUE,TRUE
1,"upper_draws","2be41073ce5e00b00c7587c4b795ea79a97f4c6c32c7a376e1de7f911073de63","2be41073ce5e00b00c7587c4b795ea79a97f4c6c32c7a376e1de7f911073de63",0,TRUE,TRUE
2,"lower_draws","a06c160e5db0de3c24e33b8b37b15cdb2a3ef47e0972f4cb033e6a5aba50bd93","a06c160e5db0de3c24e33b8b37b15cdb2a3ef47e0972f4cb033e6a5aba50bd93",0,TRUE,TRUE
2,"scalar_draws","ddd392431296a225a5f55553e8b872b9d0b9d3eaf5a46b329d1ef02e1431a83b","ddd392431296a225a5f55553e8b872b9d0b9d3eaf5a46b329d1ef02e1431a83b",0,TRUE,TRUE
2,"upper_draws","68c2441f406fc7f4c25e0c96e3f478f86e2fbb8ce686a0c82ebf6f0d53da361b","68c2441f406fc7f4c25e0c96e3f478f86e2fbb8ce686a0c82ebf6f0d53da361b",0,TRUE,TRUE
3,"lower_draws","b2ebf5c3d93968292a3796bae5f9dc6c78ae87589cf4527f04d663f32457d818","b2ebf5c3d93968292a3796bae5f9dc6c78ae87589cf4527f04d663f32457d818",0,TRUE,TRUE
3,"scalar_draws","4b857750d58f96c01cc324f556a9a46c8a6528fd569f430d74308cef91355fe4","4b857750d58f96c01cc324f556a9a46c8a6528fd569f430d74308cef91355fe4",0,TRUE,TRUE
3,"upper_draws","6c79f4908d020eb8bffa33e8e5512ed6c05c8600f7acd739ffca10586972e15a","6c79f4908d020eb8bffa33e8e5512ed6c05c8600f7acd739ffca10586972e15a",0,TRUE,TRUE
4,"lower_draws","923a134c5a4ee5063fb98ba7507ea5c636876b81336af07b12b09fc41e0c10b8","923a134c5a4ee5063fb98ba7507ea5c636876b81336af07b12b09fc41e0c10b8",0,TRUE,TRUE
4,"scalar_draws","cd1d63007d4a9146a55add4a7171a21651f2d9f56630e4ca1f1b73391c9dc35d","cd1d63007d4a9146a55add4a7171a21651f2d9f56630e4ca1f1b73391c9dc35d",0,TRUE,TRUE
4,"upper_draws","b02a45abd648bffb41127f91fafd20df49cc409458c3aa6df2660624a86f492d","b02a45abd648bffb41127f91fafd20df49cc409458c3aa6df2660624a86f492d",0,TRUE,TRUE
5,"lower_draws","ce7330e1673b55a880f26085a93cea7a96e9399dd07fb1103e30b22f7417b2b1","ce7330e1673b55a880f26085a93cea7a96e9399dd07fb1103e30b22f7417b2b1",0,TRUE,TRUE
5,"scalar_draws","6565a1f5a75d340e03bbe14d207940004f766d2d4e046b4fe9edf9df6969f06a","6565a1f5a75d340e03bbe14d207940004f766d2d4e046b4fe9edf9df6969f06a",0,TRUE,TRUE
5,"upper_draws","80e91633e2e7e26ad70fa396f8ecc61360be2ddb46ba1583c71ede08bdb2b8ab","80e91633e2e7e26ad70fa396f8ecc61360be2ddb46ba1583c71ede08bdb2b8ab",0,TRUE,TRUE
