field,value
run_id,rqr_dlm_diagnostic_aware_maximum_20260807_ea8ea8d
authorization_commit,ea8ea8d17c6f7bb34b015472e4f60f62e547c942
coordinator_running,FALSE
run_state,stopped_after_failed_wave
terminal_waves,1
planned_waves,110
passed_waves,0
failed_waves,1
terminal_replication_tasks,8
planned_replication_tasks,8400
remaining_replication_tasks,8392
completed_method_replication_results,16
planned_method_replication_results,43800
m01_completed_results,8
m02_diagnostic_construction_failures,8
diagnostics_passed,368
diagnostics_constructed,368
final_audit_present,FALSE
scientific_promotion,FALSE
