"DGP","replication","sentinel","chains","diagnostics","diagnostics_passed","all_pass","fit_elapsed_seconds","maximum_peak_RSS_KiB","minimum_bulk_ess","minimum_tail_ess","maximum_mcse_over_sd"
"S01",39,TRUE,4,45,45,TRUE,409.147,810360,2418.33417175871,3742.71226630692,0.0203074873827898
"S01",147,TRUE,4,45,45,TRUE,403.79,810088,1817.84409667972,3577.4242326081,0.0234385817146275
"S02",165,FALSE,1,45,45,TRUE,95.774,822920,304.050045823278,503.710489999738,0.0575451450726499
"S01",50,TRUE,4,45,45,TRUE,386.359,822868,2314.46964181898,4413.83352729223,0.0207946383189604
"S01",151,FALSE,1,45,45,TRUE,95.597,821960,530.594033270073,920.604254723145,0.0436137738289789
"S02",178,TRUE,4,45,45,TRUE,384.986,822920,1439.32307170197,2960.54370281715,0.0264196182137942
"S01",71,FALSE,1,45,45,TRUE,100.358,822800,504.194758061628,842.954242962515,0.0445109833871847
"S01",169,FALSE,1,45,45,TRUE,96.535,822720,337.852284472929,773.240304379564,0.0544379808073529
"S02",179,TRUE,4,45,45,TRUE,384.954,822756,1064.26426075747,2188.50957267465,0.0306686830050442
"S01",72,FALSE,1,45,45,TRUE,95.506,822920,467.19829665552,933.656679781071,0.0463236458518651
"S01",180,FALSE,1,45,45,TRUE,91.686,822868,490.16555095583,1017.2326334591,0.045206528196058
"S02",186,FALSE,1,45,45,TRUE,97.788,822800,343.997898185912,586.092509126108,0.0538072382492051
"S02",69,TRUE,4,45,45,TRUE,381.957,822756,1363.7617575504,3175.22317543086,0.0270928386107523
"S01",87,FALSE,1,45,45,TRUE,97.154,822532,452.392489181863,958.54557016496,0.0469834535941643
"S02",85,FALSE,1,45,45,TRUE,94.768,822920,306.484606102224,549.686879058183,0.0570714140138698
"S01",92,FALSE,1,45,45,TRUE,94.08,822868,459.426906720543,934.786419663806,0.0469155523360714
"S02",86,FALSE,1,45,45,TRUE,96.735,835600,244.883002412975,573.786552234413,0.0638022160952528
"S01",114,TRUE,4,45,45,TRUE,381.377,822756,1816.05621357751,3105.07415504948,0.0236241289625187
"S02",87,TRUE,4,45,45,TRUE,372.643,860296,1063.5173238964,2512.59275099245,0.030649514756341
"S01",131,FALSE,1,45,45,TRUE,92.568,838340,512.279738542242,913.404054595158,0.044162178321167
