"estimand","chains","rhat","ess_bulk","ess_tail","mcse_mean","mcse_over_sd","pass","DGP","replication","method","sentinel","wave_id"
"mean_width",1,NA,128.091664446567,1547.56506729556,0.00606562554859832,0.0882072017983191,FALSE,"S05",2,"M11",FALSE,"local_level_skewed_T200__target0200__sentinel"
"log_q_1",1,NA,42.2314828933705,1026.33833817647,0.0269943518501473,0.153490525972102,FALSE,"S05",2,"M11",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_upper",1,NA,80.3229177490163,632.953702836949,0.0256229220285254,0.11065093412698,FALSE,"S05",81,"M10",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_midpoint",1,NA,105.292751951538,658.30333280697,0.012112919339049,0.0971056194868496,FALSE,"S05",81,"M10",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_width",1,NA,75.9155138917927,642.796992855412,0.0265573283201306,0.114196792599987,FALSE,"S05",81,"M10",FALSE,"local_level_skewed_T200__target0200__sentinel"
"log_q_1",1,NA,101.66868189226,608.244032961579,0.0275196806351057,0.100379791844981,FALSE,"S05",81,"M10",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_upper",1,NA,108.265334491215,302.940960641545,0.0120295729044425,0.097576269225413,FALSE,"S05",172,"M11",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_midpoint",1,NA,160.961082676297,385.601072301054,0.00538848419593254,0.0814082388740863,FALSE,"S05",172,"M11",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_width",1,NA,106.708659587883,239.893107456128,0.0121782052619674,0.0963211537496698,FALSE,"S05",172,"M11",FALSE,"local_level_skewed_T200__target0200__sentinel"
"training_t0100_upper",1,NA,129.387361487793,1167.53097628827,0.069890250112368,0.0936986449171061,FALSE,"S05",172,"M11",FALSE,"local_level_skewed_T200__target0200__sentinel"
"training_t0100_midpoint",1,NA,187.900337194658,1174.52463723458,0.035363719800339,0.0793640716517246,FALSE,"S05",172,"M11",FALSE,"local_level_skewed_T200__target0200__sentinel"
"training_t0100_width",1,NA,136.195535260086,1113.95785796279,0.0679037339274516,0.0924800274687826,FALSE,"S05",172,"M11",FALSE,"local_level_skewed_T200__target0200__sentinel"
"log_q_1",1,NA,89.8651584466927,369.099474681465,0.0222591441150234,0.103702013736941,FALSE,"S05",172,"M11",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_upper",1,NA,20.2392828477009,1027.0418970412,0.0415358701456877,0.221450702050195,FALSE,"S05",18,"M10",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_midpoint",1,NA,48.7971500939521,1470.71250087053,0.0150564574306514,0.143020302987826,FALSE,"S05",18,"M10",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_width",1,NA,14.615527045763,619.23967584768,0.0493321578535415,0.259764507444076,FALSE,"S05",18,"M10",FALSE,"local_level_skewed_T200__target0200__sentinel"
"log_q_1",1,NA,11.7845147929233,433.808049802784,0.0662585339622552,0.292490355868097,FALSE,"S05",18,"M10",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_upper",1,NA,159.12486837114,223.339600761128,0.015041146717585,0.081667185628398,FALSE,"S06",194,"M02",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_midpoint",1,NA,159.616424713723,217.35917657972,0.00773763173349632,0.081671872538827,FALSE,"S06",194,"M02",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_width",1,NA,167.439582411567,240.436008435052,0.0150220307344831,0.0791803471279383,FALSE,"S06",194,"M02",FALSE,"local_level_skewed_T200__target0200__sentinel"
"observed_loss",1,NA,184.751051826617,309.266008819024,0.516391635972854,0.0753042638803459,FALSE,"S06",194,"M02",FALSE,"local_level_skewed_T200__target0200__sentinel"
"training_t0150_upper",1,NA,175.166575360086,295.018505596414,0.0234737526975453,0.0775282931492691,FALSE,"S06",194,"M02",FALSE,"local_level_skewed_T200__target0200__sentinel"
"training_t0150_midpoint",1,NA,177.053784247815,319.273786484224,0.011705948963872,0.0770103996703225,FALSE,"S06",194,"M02",FALSE,"local_level_skewed_T200__target0200__sentinel"
"training_t0150_width",1,NA,180.01333756715,293.526714409225,0.0236069464463211,0.076465355011316,FALSE,"S06",194,"M02",FALSE,"local_level_skewed_T200__target0200__sentinel"
"log_q_1",1,NA,148.225549604712,429.864486698543,0.0408660186593122,0.080717670938439,FALSE,"S05",39,"M10",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_upper",1,NA,180.530298002517,422.324731774379,0.0203787394258335,0.0744789155423527,FALSE,"S06",68,"M06",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_midpoint",1,NA,183.506489138039,457.801526998876,0.0105821602445332,0.0738422879884642,FALSE,"S06",68,"M06",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_width",1,NA,188.848719920132,461.485707685538,0.0199756754375589,0.072825248080032,FALSE,"S06",68,"M06",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_lower",1,NA,69.2209508253482,282.051538321088,0.00737531633000405,0.117078183889522,FALSE,"S05",104,"M10",FALSE,"local_level_skewed_T200__target0200__sentinel"
"mean_upper",1,NA,6.31484784704043,34.4018842263965,0.0565452803133865,0.397099626243437,FALSE,"S05",104,"M10",FALSE,"local_level_skewed_T200__target0200__sentinel"
