"estimand","chains","rhat","ess_bulk","ess_tail","mcse_mean","mcse_over_sd","pass","candidate_id","candidate_order","transition_multiplier","method","DGP","replication","case_role","diagnostic_role"
"log_q_1",1,,40.2467943307682,316.56176114992,0.0434371467241226,0.158554049513671,FALSE,"joint_ess1_x2",2,2,"M10","S05",104,"hard","one_chain_standard"
"mean_midpoint",1,,154.39444290158,1160.46803703682,0.00588809665761057,0.0802478980811547,FALSE,"joint_ess1_x2",2,2,"M10","S05",104,"hard","one_chain_standard"
"mean_upper",1,,47.1811025644968,227.917265176024,0.0197609228633821,0.145588064000672,FALSE,"joint_ess1_x2",2,2,"M10","S05",104,"hard","one_chain_standard"
"mean_width",1,,34.6401786522518,346.331655868007,0.0259701513579369,0.171789152279215,FALSE,"joint_ess1_x2",2,2,"M10","S05",104,"hard","one_chain_standard"
"log_q_1",4,1.00235259285625,167.803831014734,5694.90110097274,0.0246627150710311,0.0768513150759516,FALSE,"joint_ess1_reverse_x2",4,2,"M10","S05",129,"guard","four_chain_sentinel"
"mean_upper",4,1.00167821630558,250.424173011852,5512.97648803373,0.00930905411631113,0.0633183514424486,FALSE,"joint_ess1_reverse_x2",4,2,"M10","S05",129,"guard","four_chain_sentinel"
"mean_width",4,1.00185389415688,209.453349299874,5451.21122523799,0.011014505180102,0.0693308923835513,FALSE,"joint_ess1_reverse_x2",4,2,"M10","S05",129,"guard","four_chain_sentinel"
"log_q_1",1,,111.582827269197,292.204895832523,0.0203416970670433,0.0958145802967633,FALSE,"joint_ess1_x1",1,1,"M11","S05",190,"guard","one_chain_standard"
"mean_midpoint",1,,170.44152920774,547.059726533427,0.00459832455094024,0.0776349906000085,FALSE,"joint_ess1_x1",1,1,"M11","S05",190,"guard","one_chain_standard"
"mean_upper",1,,121.820589408099,350.227932618896,0.00993206553039065,0.0921393456294789,FALSE,"joint_ess1_x1",1,1,"M11","S05",190,"guard","one_chain_standard"
"mean_width",1,,123.7009355091,322.990620039848,0.0104348495099861,0.0918440317973607,FALSE,"joint_ess1_x1",1,1,"M11","S05",190,"guard","one_chain_standard"
"log_q_1",1,,101.936030305873,381.522864173376,0.0221858280335645,0.103370299920769,FALSE,"joint_ess1_x1",1,1,"M11","S05",172,"hard","one_chain_standard"
"mean_midpoint",1,,175.201252102933,591.332570596715,0.0051419506534062,0.0781194042865515,FALSE,"joint_ess1_x1",1,1,"M11","S05",172,"hard","one_chain_standard"
"mean_upper",1,,122.128862444309,451.947874465802,0.0116262183290936,0.0953671977308988,FALSE,"joint_ess1_x1",1,1,"M11","S05",172,"hard","one_chain_standard"
"mean_width",1,,109.971607418185,431.649405032138,0.0126971399066881,0.102076218281697,FALSE,"joint_ess1_x1",1,1,"M11","S05",172,"hard","one_chain_standard"
"log_q_1",1,,198.185999373091,993.332082009851,0.0146015396802714,0.069930543057787,FALSE,"joint_ess1_reverse_x2",4,2,"M11","S05",190,"guard","one_chain_standard"
"log_lambda",1,,63.1025280868732,699.87213255922,0.0152817247557359,0.128571561582824,FALSE,"joint_ess1_reverse_x2",4,2,"M11","S05",172,"hard","one_chain_standard"
"log_q_1",1,,7.34635847379629,19.4897567172517,0.0732554426458664,0.379498510974527,FALSE,"joint_ess1_reverse_x2",4,2,"M11","S05",172,"hard","one_chain_standard"
"mean_midpoint",1,,7.85642254536784,20.5253408520627,0.0219443431251176,0.367090626821116,FALSE,"joint_ess1_reverse_x2",4,2,"M11","S05",172,"hard","one_chain_standard"
"mean_upper",1,,6.4658099291999,19.9465310966925,0.0440114337670431,0.407416330567953,FALSE,"joint_ess1_reverse_x2",4,2,"M11","S05",172,"hard","one_chain_standard"
"mean_width",1,,6.79715355089755,23.3541828033562,0.0438645762233639,0.396312862946782,FALSE,"joint_ess1_reverse_x2",4,2,"M11","S05",172,"hard","one_chain_standard"
"observed_loss",1,,32.1088169490602,405.989075538221,0.285814243378592,0.179728373094616,FALSE,"joint_ess1_reverse_x2",4,2,"M11","S05",172,"hard","one_chain_standard"
