"fit_id","checkpoint_digest","history_digest","published_object_digest","completed_iterations"
"fixed_W_local_level__fixed_rate__chain01","214727cd58e698ee188439d889d4c5494fe07339c277e9c04e7161d8e821da3c","56c2d2f148bf60719c2b3ab931b1bd9c4fdccb7f4dfa0fe4c27af4207547a0e5","acb23328654b8c38ad5de3ef545a244aa0fd80f29ed507b89001bed525754fe7",8000
"fixed_W_local_level__fixed_rate__chain02","b1e8995a6c8691f77c71f72bd81fa539d0e43684cb11c4643538ffdb6ab786de","09340cb1f5cd2d582b6cd5588f8ed54584f6ff4d4be8ade38fffe89f28d9b0a3","06c28e3e0a60831d6268102e99fef3c722aabd3be87f40c5715028c2a4da2d95",8000
"fixed_W_local_level__fixed_rate__chain03","d2b64e1ba99d3e96a89419964697df6f0c72bcdf9405b421b993bb23a17797e8","71c1f064c62d3e3c740194c51c04215a04fe09b8cf219a7b7915a5ffa14c5bf6","d1fea8b223822544c5142aeeef22fb2c8c990723993d6d54435fabde75c9d4c0",8000
"fixed_W_local_level__fixed_rate__chain04","0f051aaca548ce5011ce7fb7b9ab079f6a851ed7717ee6f9706f777d42670de9","36b894594d39b02ffa47e342b793f693d5576bdfc206bee245feff8c0a4dba14","a4a30d2d914ed8858b2a02fe2e8f5c2b96ff45c0d690ae227bbe52817aaab800",8000
"fixed_W_local_level__learned_pseudoresidual_normalized__chain01","39c31a0196c931d470569bf37ee50a13fe6ec094863ae83cbd6a482d7492298d","7129d6d03d1f6228190ae4f5b8041c58d4a4e0abe820c8ce74835ccdda44ffe7","9c8cc6ecc18302d75b6eee3459c5a080250346dec30b8320a88e5f877887e865",8000
"fixed_W_local_level__learned_pseudoresidual_normalized__chain02","2f1fe6f624b9e189bd99082500b580697b0f96e34a290c7763b7444db7ee613c","c8739213eb65ec36aa7ed18e0fb6d6c733d24cf250bf9608953a679509d24735","19457efdbf1d3c551994e6dc07ce94183a4867dc64bbed2f2289486bd9d2a427",8000
"fixed_W_local_level__learned_pseudoresidual_normalized__chain03","e8318479c9fdc77b8909efd81546fb36cf8b6b233e946818db2fd798981992f4","7e9d25368a07b08530a694c2312869bcb615b6bb3cdb62988d952fff1d55d727","cd53a21cef4a6ccc6205ce8a2630c2b345e2405b0f1ee4e138ed23322cfa7f1a",8000
"fixed_W_local_level__learned_pseudoresidual_normalized__chain04","072c259ec41c96bf8264902a2aa1c40bf4334f5c30ad6bdb4720fef6c32b8dee","b440c0fa1009f0ea588fbeda97fd38d50fbbddb0cab8d55fb4919c6d4edd24ab","8c002279489b6159ec2ee46818c05c22af168994bb87a37570df88c22662ef38",8000
"frozen_trend_seasonal_discount__fixed_rate__chain01","a9d740c4b4444c1b51b1812ed3883d55924105e2940ecff47f9bd1d97696f7a3","9af2356211fbe7ecd56aee306e474bb84a4bcc0a0ce1a3e2045e8ee3410f1d18","a6d829667569e5cbeb8d8f704b0acb272d9d2429a1056cef98317cf4cc28e5bd",8000
"frozen_trend_seasonal_discount__fixed_rate__chain02","c845752f7d2905f2a2644e86e74f84586f375c5a845fb377013708a3c81364b2","2adde836ced3bbb5835b77175b42273c52b234b0973528a9d3e2e83abb3571d9","eff6573c4f681e8c814264d32411fdc274d42cf82507af50bdc3ebdb155dde2b",8000
