"fit_id","initialization_profile","initialization_digest","mean_initial_midpoint","mean_initial_width","lambda_initial","component_scale_initial"
"fixed_W_local_level__fixed_rate__chain01","low_wide","77d543dc7c252fe8a81f229b54b737befb223c96a4d7e9bc7cf48532c42827d9",0.717019081217379,8.19529820688491,0.5,NA
"fixed_W_local_level__fixed_rate__chain02","high_wide","901e660580fc04f204050c3ab88d9013264eacf75f73f33fca92df3b32c12c8e",2.71701908121738,8.19529820688491,2,NA
"fixed_W_local_level__fixed_rate__chain03","low_narrow","b3cb71fcf01ad33861ec69710e986e1d517f70809a43bdb7cefe67cddcf296bc",-0.0329809187826211,4.69529820688491,4,NA
"fixed_W_local_level__fixed_rate__chain04","high_narrow","56ea66e0e85cbdf23cb97eb4cf7f8727b7f451d39bbdc5fbe665dec23799d1aa",2.46701908121738,4.69529820688491,1,NA
"fixed_W_local_level__learned_pseudoresidual_normalized__chain01","low_wide","77d543dc7c252fe8a81f229b54b737befb223c96a4d7e9bc7cf48532c42827d9",0.717019081217379,8.19529820688491,0.5,NA
"fixed_W_local_level__learned_pseudoresidual_normalized__chain02","high_wide","901e660580fc04f204050c3ab88d9013264eacf75f73f33fca92df3b32c12c8e",2.71701908121738,8.19529820688491,2,NA
"fixed_W_local_level__learned_pseudoresidual_normalized__chain03","low_narrow","b3cb71fcf01ad33861ec69710e986e1d517f70809a43bdb7cefe67cddcf296bc",-0.0329809187826211,4.69529820688491,4,NA
"fixed_W_local_level__learned_pseudoresidual_normalized__chain04","high_narrow","56ea66e0e85cbdf23cb97eb4cf7f8727b7f451d39bbdc5fbe665dec23799d1aa",2.46701908121738,4.69529820688491,1,NA
"frozen_trend_seasonal_discount__fixed_rate__chain01","low_wide","e272c55629d14e2efcb0f5d2840f5f447215d4213857118fc3f6dd1a71e92454",0.449999995833333,7.75666665040123,0.5,NA
"frozen_trend_seasonal_discount__fixed_rate__chain02","high_wide","49589fda61f3ce027a652f3fdc634a4e16dd1645e718544f02f85635ce44901c",2.44999999583333,7.75666665040123,2,NA
"frozen_trend_seasonal_discount__fixed_rate__chain03","low_narrow","61ac7b47780bca4b8361c6e33ddbe4ae83ce0d61dcea4be3302f693ed35b4d27",-0.300000004166667,4.25666665040123,4,NA
"frozen_trend_seasonal_discount__fixed_rate__chain04","high_narrow","3cfef8f9e77cd44a98ca91e4645b637dcfb7bad08c1215d2ebe90614634be109",2.19999999583333,4.25666665040123,1,NA
"frozen_trend_seasonal_discount__learned_pseudoresidual_normalized__chain01","low_wide","e272c55629d14e2efcb0f5d2840f5f447215d4213857118fc3f6dd1a71e92454",0.449999995833333,7.75666665040123,0.5,NA
"frozen_trend_seasonal_discount__learned_pseudoresidual_normalized__chain02","high_wide","49589fda61f3ce027a652f3fdc634a4e16dd1645e718544f02f85635ce44901c",2.44999999583333,7.75666665040123,2,NA
"frozen_trend_seasonal_discount__learned_pseudoresidual_normalized__chain03","low_narrow","61ac7b47780bca4b8361c6e33ddbe4ae83ce0d61dcea4be3302f693ed35b4d27",-0.300000004166667,4.25666665040123,4,NA
"frozen_trend_seasonal_discount__learned_pseudoresidual_normalized__chain04","high_narrow","3cfef8f9e77cd44a98ca91e4645b637dcfb7bad08c1215d2ebe90614634be109",2.19999999583333,4.25666665040123,1,NA
"shared_component_scale_trend_regression__fixed_rate__chain01","low_wide","af150a3bf30b458a1fc6a6a46a97f3ef8e7f45e07f13a6ef8d2c4b8233451682",0.464999983960489,7.7464137328634,0.5,"0.025000000000000001,0.025000000000000001"
"shared_component_scale_trend_regression__fixed_rate__chain02","high_wide","35edf76b3c461f1406db26860c57251c51bc9efcc6f7fae8da290a3b1336c81b",2.46499998396049,7.7464137328634,2,"0.10000000000000001,0.10000000000000001"
"shared_component_scale_trend_regression__fixed_rate__chain03","low_narrow","cc908350215de4f0ec0e2ec01308172bf992123f06a7df7bcc217cdba1f5fee3",-0.285000016039511,4.2464137328634,4,"0.20000000000000001,0.20000000000000001"
"shared_component_scale_trend_regression__fixed_rate__chain04","high_narrow","bba2990dda5f30f6691edcb73393a23f5dfdb242605093cbd43551c47c95b6ae",2.21499998396049,4.2464137328634,1,"0.050000000000000003,0.050000000000000003"
"shared_component_scale_trend_regression__learned_pseudoresidual_normalized__chain01","low_wide","af150a3bf30b458a1fc6a6a46a97f3ef8e7f45e07f13a6ef8d2c4b8233451682",0.464999983960489,7.7464137328634,0.5,"0.025000000000000001,0.025000000000000001"
"shared_component_scale_trend_regression__learned_pseudoresidual_normalized__chain02","high_wide","35edf76b3c461f1406db26860c57251c51bc9efcc6f7fae8da290a3b1336c81b",2.46499998396049,7.7464137328634,2,"0.10000000000000001,0.10000000000000001"
"shared_component_scale_trend_regression__learned_pseudoresidual_normalized__chain03","low_narrow","cc908350215de4f0ec0e2ec01308172bf992123f06a7df7bcc217cdba1f5fee3",-0.285000016039511,4.2464137328634,4,"0.20000000000000001,0.20000000000000001"
"shared_component_scale_trend_regression__learned_pseudoresidual_normalized__chain04","high_narrow","bba2990dda5f30f6691edcb73393a23f5dfdb242605093cbd43551c47c95b6ae",2.21499998396049,4.2464137328634,1,"0.050000000000000003,0.050000000000000003"
