"fit_id","missing_indices","missing_ordinates_finite","future_horizon","future_values_finite","future_draw_index_sequential","future_repair_count","response_simulation_contract"
"fixed_W_local_level__fixed_rate__chain01","6,17",TRUE,4,TRUE,TRUE,0,FALSE
"fixed_W_local_level__fixed_rate__chain02","6,17",TRUE,4,TRUE,TRUE,0,FALSE
"fixed_W_local_level__fixed_rate__chain03","6,17",TRUE,4,TRUE,TRUE,0,FALSE
"fixed_W_local_level__fixed_rate__chain04","6,17",TRUE,4,TRUE,TRUE,0,FALSE
"fixed_W_local_level__learned_pseudoresidual_normalized__chain01","6,17",TRUE,4,TRUE,TRUE,0,FALSE
"fixed_W_local_level__learned_pseudoresidual_normalized__chain02","6,17",TRUE,4,TRUE,TRUE,0,FALSE
"fixed_W_local_level__learned_pseudoresidual_normalized__chain03","6,17",TRUE,4,TRUE,TRUE,0,FALSE
"fixed_W_local_level__learned_pseudoresidual_normalized__chain04","6,17",TRUE,4,TRUE,TRUE,0,FALSE
"frozen_trend_seasonal_discount__fixed_rate__chain01","",TRUE,4,TRUE,TRUE,0,FALSE
"frozen_trend_seasonal_discount__fixed_rate__chain02","",TRUE,4,TRUE,TRUE,0,FALSE
"frozen_trend_seasonal_discount__fixed_rate__chain03","",TRUE,4,TRUE,TRUE,0,FALSE
"frozen_trend_seasonal_discount__fixed_rate__chain04","",TRUE,4,TRUE,TRUE,0,FALSE
"frozen_trend_seasonal_discount__learned_pseudoresidual_normalized__chain01","",TRUE,4,TRUE,TRUE,0,FALSE
"frozen_trend_seasonal_discount__learned_pseudoresidual_normalized__chain02","",TRUE,4,TRUE,TRUE,0,FALSE
"frozen_trend_seasonal_discount__learned_pseudoresidual_normalized__chain03","",TRUE,4,TRUE,TRUE,0,FALSE
"frozen_trend_seasonal_discount__learned_pseudoresidual_normalized__chain04","",TRUE,4,TRUE,TRUE,0,FALSE
"shared_component_scale_trend_regression__fixed_rate__chain01","11",TRUE,3,TRUE,TRUE,0,FALSE
"shared_component_scale_trend_regression__fixed_rate__chain02","11",TRUE,3,TRUE,TRUE,0,FALSE
"shared_component_scale_trend_regression__fixed_rate__chain03","11",TRUE,3,TRUE,TRUE,0,FALSE
"shared_component_scale_trend_regression__fixed_rate__chain04","11",TRUE,3,TRUE,TRUE,0,FALSE
"shared_component_scale_trend_regression__learned_pseudoresidual_normalized__chain01","11",TRUE,3,TRUE,TRUE,0,FALSE
"shared_component_scale_trend_regression__learned_pseudoresidual_normalized__chain02","11",TRUE,3,TRUE,TRUE,0,FALSE
"shared_component_scale_trend_regression__learned_pseudoresidual_normalized__chain03","11",TRUE,3,TRUE,TRUE,0,FALSE
"shared_component_scale_trend_regression__learned_pseudoresidual_normalized__chain04","11",TRUE,3,TRUE,TRUE,0,FALSE
