"fit_id","primary_runtime_source_match","runtime_tree_digest","expected_commit_match","reproducibility_eligible"
"fixed_W_local_level__fixed_rate__chain01",TRUE,"d028a74fb593650d2809fb2152927c74d00505e71652bf63054ae7fed385dba9",TRUE,TRUE
"fixed_W_local_level__fixed_rate__chain02",TRUE,"d028a74fb593650d2809fb2152927c74d00505e71652bf63054ae7fed385dba9",TRUE,TRUE
"fixed_W_local_level__fixed_rate__chain03",TRUE,"d028a74fb593650d2809fb2152927c74d00505e71652bf63054ae7fed385dba9",TRUE,TRUE
"fixed_W_local_level__fixed_rate__chain04",TRUE,"d028a74fb593650d2809fb2152927c74d00505e71652bf63054ae7fed385dba9",TRUE,TRUE
"fixed_W_local_level__learned_pseudoresidual_normalized__chain01",TRUE,"d028a74fb593650d2809fb2152927c74d00505e71652bf63054ae7fed385dba9",TRUE,TRUE
"fixed_W_local_level__learned_pseudoresidual_normalized__chain02",TRUE,"d028a74fb593650d2809fb2152927c74d00505e71652bf63054ae7fed385dba9",TRUE,TRUE
"fixed_W_local_level__learned_pseudoresidual_normalized__chain03",TRUE,"d028a74fb593650d2809fb2152927c74d00505e71652bf63054ae7fed385dba9",TRUE,TRUE
"fixed_W_local_level__learned_pseudoresidual_normalized__chain04",TRUE,"d028a74fb593650d2809fb2152927c74d00505e71652bf63054ae7fed385dba9",TRUE,TRUE
"frozen_trend_seasonal_discount__fixed_rate__chain01",TRUE,"d028a74fb593650d2809fb2152927c74d00505e71652bf63054ae7fed385dba9",TRUE,TRUE
"frozen_trend_seasonal_discount__fixed_rate__chain02",TRUE,"d028a74fb593650d2809fb2152927c74d00505e71652bf63054ae7fed385dba9",TRUE,TRUE
"frozen_trend_seasonal_discount__fixed_rate__chain03",TRUE,"d028a74fb593650d2809fb2152927c74d00505e71652bf63054ae7fed385dba9",TRUE,TRUE
"frozen_trend_seasonal_discount__fixed_rate__chain04",TRUE,"d028a74fb593650d2809fb2152927c74d00505e71652bf63054ae7fed385dba9",TRUE,TRUE
"frozen_trend_seasonal_discount__learned_pseudoresidual_normalized__chain01",TRUE,"d028a74fb593650d2809fb2152927c74d00505e71652bf63054ae7fed385dba9",TRUE,TRUE
"frozen_trend_seasonal_discount__learned_pseudoresidual_normalized__chain02",TRUE,"d028a74fb593650d2809fb2152927c74d00505e71652bf63054ae7fed385dba9",TRUE,TRUE
"frozen_trend_seasonal_discount__learned_pseudoresidual_normalized__chain03",TRUE,"d028a74fb593650d2809fb2152927c74d00505e71652bf63054ae7fed385dba9",TRUE,TRUE
"frozen_trend_seasonal_discount__learned_pseudoresidual_normalized__chain04",TRUE,"d028a74fb593650d2809fb2152927c74d00505e71652bf63054ae7fed385dba9",TRUE,TRUE
"shared_component_scale_trend_regression__fixed_rate__chain01",TRUE,"d028a74fb593650d2809fb2152927c74d00505e71652bf63054ae7fed385dba9",TRUE,TRUE
"shared_component_scale_trend_regression__fixed_rate__chain02",TRUE,"d028a74fb593650d2809fb2152927c74d00505e71652bf63054ae7fed385dba9",TRUE,TRUE
"shared_component_scale_trend_regression__fixed_rate__chain03",TRUE,"d028a74fb593650d2809fb2152927c74d00505e71652bf63054ae7fed385dba9",TRUE,TRUE
"shared_component_scale_trend_regression__fixed_rate__chain04",TRUE,"d028a74fb593650d2809fb2152927c74d00505e71652bf63054ae7fed385dba9",TRUE,TRUE
"shared_component_scale_trend_regression__learned_pseudoresidual_normalized__chain01",TRUE,"d028a74fb593650d2809fb2152927c74d00505e71652bf63054ae7fed385dba9",TRUE,TRUE
"shared_component_scale_trend_regression__learned_pseudoresidual_normalized__chain02",TRUE,"d028a74fb593650d2809fb2152927c74d00505e71652bf63054ae7fed385dba9",TRUE,TRUE
"shared_component_scale_trend_regression__learned_pseudoresidual_normalized__chain03",TRUE,"d028a74fb593650d2809fb2152927c74d00505e71652bf63054ae7fed385dba9",TRUE,TRUE
"shared_component_scale_trend_regression__learned_pseudoresidual_normalized__chain04",TRUE,"d028a74fb593650d2809fb2152927c74d00505e71652bf63054ae7fed385dba9",TRUE,TRUE
