"artifact","bytes","sha256","tracking"
"confirmatory_config",NA,"4ae6e0d786ba4e065d98d329da6d3e736a50d67a6385faf4f85bcceec519e268","tracked source"
"primary_runtime_attestation",1889,"42ba16d0ee344ee29d253b96c8d68ab74c8cebe217dd7a5c6dbe6879a3c46705","ignored exact-runtime evidence"
"preflight_artifact_hashes",2000,"1552e7b213832e6d661eb11b924f0f457456708aee2a08f55892ce2e56dd0ec0","ignored full-bundle manifest"
"preflight_seed_ledger",87631830,"3dc8483f4a777ab766704b901997295bed1c89db0590429a70f3116b233e948f","ignored launch input"
"preflight_replication_plan_maximum",550962,"66ab61d3ebb31c1c38798d71889f9b648a1c31c027f17bff0909f759bb1f2c28","ignored launch input"
"preflight_execution_wave_plan_maximum",1679559,"c45ece172d89a366fede5264a757c45161a3d9578a892ef1f8dfb920cbc51838","ignored launch input"
"preflight_gates",674,"5c3b3263b9201e1282aa66ff637f27492bfa84e92a0f0f201485fd05d37f3a0d","tracked compact copy"
"reference_artifact_hashes",1524,"295e0fc37f8f80b891f7773921b24d9d6c019b24f50cbbeae545dec7d4f34a9a","ignored full-bundle manifest"
"reference_gates",495,"2493219417d1249f6e1f6ac348370519f42e04de2f10d77d4458861bc04ed533","tracked compact copy"
"reference_runtime_bundle",1264,"2091d64f3546c15bbc602538359ad2593c83c5871dee4ff5220db5a8c7e2036c","ignored exact-runtime evidence"
"reference_dependency_manifest",5228,"ed7c39beebec9858d4bcdba10272576a40ae74302e03d7590a7301e048c47501","ignored exact-runtime evidence"
"reference_toolchain_manifest",439,"b5003e2a19763299982de7392d68038ddc5f6e554389dd08d95cc723478bfdfe","ignored exact-runtime evidence"
