"gate","value"
"schema_1_0",TRUE
"incidence_208_rows",TRUE
"included_89",TRUE
"omitted_119",TRUE
"budget_reproduced",TRUE
"candidate_fits_zero",TRUE
"LEcuyer_full_state_unique",TRUE
"future_substreams_20",TRUE
"sentinels_preselected",TRUE
"execution_state_valid",TRUE
"disk_at_least_50_GiB",TRUE
"workers_at_most_32",TRUE
"one_thread_per_worker",TRUE
"sampled_worker_thread_envelope_two",TRUE
"sampled_reference_thread_envelope_four",TRUE
"artifact_schemas_frozen",TRUE
"primary_runtime_binding_when_requested",TRUE
"replication_task_ids_unique",TRUE
"sentinel_tasks_preselected",TRUE
"sentinel_selection_states_bound",TRUE
"wave_tasks_exact",TRUE
"wave_worker_limits",TRUE
