"estimand","chains","rhat","ess_bulk","ess_tail","mcse_mean","mcse_over_sd","pass","method","DGP","replication","case_role"
"mean_lower",4,1.01492523460886,69.1198814199954,21561.8946329222,0.00495850038605607,0.118863910202335,FALSE,"M11","S10",166,"higher_dimensional_sentinel_guard"
"mean_upper",4,1.0642447503779,10.291423665208,34.0897328383207,0.0313386704331976,0.316653877336133,FALSE,"M11","S10",166,"higher_dimensional_sentinel_guard"
"mean_midpoint",4,1.033590277343,21.7781107496221,67.3233081537558,0.0118319730168157,0.217970756720561,FALSE,"M11","S10",166,"higher_dimensional_sentinel_guard"
"mean_width",4,1.08227284870949,7.84024183312026,29.1970133081508,0.0382636651249652,0.360217069167517,FALSE,"M11","S10",166,"higher_dimensional_sentinel_guard"
"observed_loss",4,1.01596425698421,82.6987989383633,11416.946778833,0.369603125506273,0.110871738044094,FALSE,"M11","S10",166,"higher_dimensional_sentinel_guard"
"future_h01_upper",4,1.00891992882548,219.759874604327,21769.579156655,0.0256483785722081,0.0528244130803117,FALSE,"M11","S10",166,"higher_dimensional_sentinel_guard"
"future_h05_upper",4,1.01711181637988,53.166907248243,11623.1730427576,0.153101900503815,0.135767317305348,FALSE,"M11","S10",166,"higher_dimensional_sentinel_guard"
"future_h05_midpoint",4,1.01061637174447,104.701730511414,21907.0289667886,0.0673786964085681,0.098504848034627,FALSE,"M11","S10",166,"higher_dimensional_sentinel_guard"
"future_h05_width",4,1.01248831875628,91.424967937623,3110.13208658801,0.140846010814597,0.102834426154877,FALSE,"M11","S10",166,"higher_dimensional_sentinel_guard"
"future_h10_upper",4,1.01924196069147,43.6052134668515,5055.70199581368,0.299542830404455,0.150720091665446,FALSE,"M11","S10",166,"higher_dimensional_sentinel_guard"
"future_h10_midpoint",4,1.01256620290572,73.3398481236245,16243.0918340928,0.143305576147915,0.117823132212321,FALSE,"M11","S10",166,"higher_dimensional_sentinel_guard"
"future_h10_width",4,1.01324869441951,84.7888756094593,2060.60023149692,0.25615915847389,0.10602692867134,FALSE,"M11","S10",166,"higher_dimensional_sentinel_guard"
"future_h20_upper",4,1.02024003763589,39.8545640030429,3977.49995449254,0.582451626369406,0.157618931421861,FALSE,"M11","S10",166,"higher_dimensional_sentinel_guard"
"future_h20_midpoint",4,1.0136140779923,62.8221218157823,14991.7130514127,0.291979881703807,0.127022460479516,FALSE,"M11","S10",166,"higher_dimensional_sentinel_guard"
"future_h20_width",4,1.01322697949664,91.2220784330438,1511.10508674382,0.455452551141065,0.102025544439899,FALSE,"M11","S10",166,"higher_dimensional_sentinel_guard"
"log_q_2",4,1.16164188188364,4.15022609962392,22.0826491966401,0.181551232347611,0.492713557970416,FALSE,"M11","S10",166,"higher_dimensional_sentinel_guard"
