"estimand","chains","rhat","ess_bulk","ess_tail","mcse_mean","mcse_over_sd","pass","candidate_id","transition_multiplier","method","DGP","replication","case_role","diagnostic_role","elapsed_seconds_group","bulk_effective_draws_per_second","tail_effective_draws_per_second"
"future_h01_lower",4,0.999981366261584,19721.9851392017,21689.2055238251,0.00241983019805339,0.00710690864796744,TRUE,"whole_scan_x2",2,"M01","S05",188,"guard","four_chain_sentinel",19824.605,0.994823611325507,1.09405486383336
"future_h01_midpoint",4,0.99998288796616,16912.061496678,21120.430993441,0.0024631794925774,0.00771292608751335,TRUE,"whole_scan_x2",2,"M01","S05",188,"guard","four_chain_sentinel",19824.605,0.853084411854763,1.06536453026131
"future_h01_upper",4,0.999981501316512,13331.9954738104,19835.8962460379,0.0046348517496649,0.00867969922153416,TRUE,"whole_scan_x2",2,"M01","S05",188,"guard","four_chain_sentinel",19824.605,0.672497407832862,1.00056955717594
"future_h01_width",4,0.999963475112525,13242.3248249949,19335.4185666671,0.00545548349439418,0.0086891495908384,TRUE,"whole_scan_x2",2,"M01","S05",188,"guard","four_chain_sentinel",19824.605,0.667974208060887,0.975324278424064
"future_h05_lower",4,0.999981366261584,19721.9851392017,21689.2055238251,0.00241983019805339,0.00710690864796744,TRUE,"whole_scan_x2",2,"M01","S05",188,"guard","four_chain_sentinel",19824.605,0.994823611325507,1.09405486383336
"future_h05_midpoint",4,0.99998288796616,16912.061496678,21120.430993441,0.0024631794925774,0.00771292608751335,TRUE,"whole_scan_x2",2,"M01","S05",188,"guard","four_chain_sentinel",19824.605,0.853084411854763,1.06536453026131
"future_h05_upper",4,0.999981501316512,13331.9954738104,19835.8962460379,0.0046348517496649,0.00867969922153416,TRUE,"whole_scan_x2",2,"M01","S05",188,"guard","four_chain_sentinel",19824.605,0.672497407832862,1.00056955717594
"future_h05_width",4,0.999963475112525,13242.3248249949,19335.4185666671,0.00545548349439418,0.0086891495908384,TRUE,"whole_scan_x2",2,"M01","S05",188,"guard","four_chain_sentinel",19824.605,0.667974208060887,0.975324278424064
"future_h10_lower",4,0.999981366261584,19721.9851392017,21689.2055238251,0.00241983019805339,0.00710690864796744,TRUE,"whole_scan_x2",2,"M01","S05",188,"guard","four_chain_sentinel",19824.605,0.994823611325507,1.09405486383336
"future_h10_midpoint",4,0.99998288796616,16912.061496678,21120.430993441,0.0024631794925774,0.00771292608751335,TRUE,"whole_scan_x2",2,"M01","S05",188,"guard","four_chain_sentinel",19824.605,0.853084411854763,1.06536453026131
"future_h10_upper",4,0.999981501316512,13331.9954738104,19835.8962460379,0.0046348517496649,0.00867969922153416,TRUE,"whole_scan_x2",2,"M01","S05",188,"guard","four_chain_sentinel",19824.605,0.672497407832862,1.00056955717594
"future_h10_width",4,0.999963475112525,13242.3248249949,19335.4185666671,0.00545548349439418,0.0086891495908384,TRUE,"whole_scan_x2",2,"M01","S05",188,"guard","four_chain_sentinel",19824.605,0.667974208060887,0.975324278424064
"future_h20_lower",4,0.999981366261584,19721.9851392017,21689.2055238251,0.00241983019805339,0.00710690864796744,TRUE,"whole_scan_x2",2,"M01","S05",188,"guard","four_chain_sentinel",19824.605,0.994823611325507,1.09405486383336
"future_h20_midpoint",4,0.99998288796616,16912.061496678,21120.430993441,0.0024631794925774,0.00771292608751335,TRUE,"whole_scan_x2",2,"M01","S05",188,"guard","four_chain_sentinel",19824.605,0.853084411854763,1.06536453026131
"future_h20_upper",4,0.999981501316512,13331.9954738104,19835.8962460379,0.0046348517496649,0.00867969922153416,TRUE,"whole_scan_x2",2,"M01","S05",188,"guard","four_chain_sentinel",19824.605,0.672497407832862,1.00056955717594
"future_h20_width",4,0.999963475112525,13242.3248249949,19335.4185666671,0.00545548349439418,0.0086891495908384,TRUE,"whole_scan_x2",2,"M01","S05",188,"guard","four_chain_sentinel",19824.605,0.667974208060887,0.975324278424064
"log_q_1",4,1.00004441518749,5472.82021937934,9838.3875977525,0.00527431775896316,0.0135217629340151,TRUE,"whole_scan_x2",2,"M01","S05",188,"guard","four_chain_sentinel",19824.605,0.276062005743839,0.49627155737794
"mean_lower",4,0.999982479064432,15869.3376076544,20487.2934040522,0.000571997071706371,0.00793769714077749,TRUE,"whole_scan_x2",2,"M01","S05",188,"guard","four_chain_sentinel",19824.605,0.800486950819671,1.03342757164908
"mean_midpoint",4,1.00002969782916,11769.1652459481,17908.3371219925,0.00088333379397625,0.00920994769255234,TRUE,"whole_scan_x2",2,"M01","S05",188,"guard","four_chain_sentinel",19824.605,0.593664552002327,0.903338912527765
"mean_upper",4,1.00005347011728,9704.42070902632,16531.434384424,0.00178499780811356,0.0101382597338721,TRUE,"whole_scan_x2",2,"M01","S05",188,"guard","four_chain_sentinel",19824.605,0.489513950417994,0.833884679388265
"mean_width",4,1.00005446416826,9020.43670124393,16534.0209009224,0.00198652750169103,0.0105303354360214,TRUE,"whole_scan_x2",2,"M01","S05",188,"guard","four_chain_sentinel",19824.605,0.455012178111187,0.834015149402593
"observed_loss",4,1.00002368481855,12660.6888374338,18744.0401097502,0.0336628845011728,0.00888230415451728,TRUE,"whole_scan_x2",2,"M01","S05",188,"guard","four_chain_sentinel",19824.605,0.638635112146436,0.945493749295393
"terminal_lower",4,0.999981366261584,19721.9851392017,21689.2055238251,0.00241983019805339,0.00710690864796744,TRUE,"whole_scan_x2",2,"M01","S05",188,"guard","four_chain_sentinel",19824.605,0.994823611325507,1.09405486383336
"terminal_midpoint",4,0.99998288796616,16912.061496678,21120.430993441,0.0024631794925774,0.00771292608751335,TRUE,"whole_scan_x2",2,"M01","S05",188,"guard","four_chain_sentinel",19824.605,0.853084411854763,1.06536453026131
"terminal_upper",4,0.999981501316512,13331.9954738104,19835.8962460379,0.0046348517496649,0.00867969922153416,TRUE,"whole_scan_x2",2,"M01","S05",188,"guard","four_chain_sentinel",19824.605,0.672497407832862,1.00056955717594
