"DGP","replication","method","sentinel","chain_role","failed_diagnostics","minimum_bulk_ess","minimum_tail_ess","maximum_mcse_over_sd","maximum_rhat"
"S05",2,"M11",FALSE,"one_chain_standard",2,42.2314828933705,1026.33833817647,0.153490525972102,NA
"S05",18,"M10",FALSE,"one_chain_standard",4,11.7845147929233,433.808049802784,0.292490355868097,NA
"S05",39,"M10",FALSE,"one_chain_standard",1,148.225549604712,429.864486698543,0.080717670938439,NA
"S05",51,"M11",FALSE,"one_chain_standard",3,95.8810094519333,553.150814555398,0.102620707906961,NA
"S05",58,"M06",FALSE,"one_chain_standard",2,185.442940061561,305.053417200287,0.0744333826320668,NA
"S05",58,"M10",FALSE,"one_chain_standard",5,106.543549466144,69.9636417442476,0.0983032154182512,NA
"S05",74,"M11",TRUE,"four_chain_sentinel",5,30.8188003118972,122.644396943016,0.178740023769745,1.02899643073196
"S05",77,"M09",FALSE,"one_chain_standard",1,170.364114803135,246.634516822341,0.078332763734348,NA
"S05",81,"M10",FALSE,"one_chain_standard",4,75.9155138917927,608.244032961579,0.114196792599987,NA
"S05",104,"M10",FALSE,"one_chain_standard",8,5.34283221494551,34.4018842263965,0.435329247087606,NA
"S05",113,"M10",FALSE,"one_chain_standard",4,128.473550902235,578.152256930054,0.0900208315853959,NA
"S05",122,"M10",FALSE,"one_chain_standard",3,91.8808144813737,430.882536467071,0.101824329649129,NA
"S05",139,"M06",FALSE,"one_chain_standard",2,187.613888915104,520.107407314047,0.073114797468087,NA
"S05",172,"M11",FALSE,"one_chain_standard",7,89.8651584466927,239.893107456128,0.103702013736941,NA
"S05",186,"M01",FALSE,"one_chain_standard",1,196.618001803307,398.348751122266,0.0712740502339741,NA
"S05",186,"M06",FALSE,"one_chain_standard",2,186.730895736375,418.043496487351,0.0729550789667856,NA
"S06",68,"M06",FALSE,"one_chain_standard",3,180.530298002517,422.324731774379,0.0744789155423527,NA
"S06",99,"M06",FALSE,"one_chain_standard",1,195.977584859696,376.223823907414,0.0731055801323672,NA
"S06",194,"M02",FALSE,"one_chain_standard",7,159.12486837114,217.35917657972,0.081671872538827,NA
"S06",196,"M06",FALSE,"one_chain_standard",7,157.731402714985,288.286841123303,0.0797517250533045,NA
