"DGP","replication","dgp","coverage_level","T","training_response_mean","training_response_sd","training_response_iqr","training_response_min","training_response_max","training_response_range","training_response_max_abs_z","training_response_lag1_acf","response_diff_sd","response_diff_mean_abs","response_diff_max_abs","latent_level_sd","latent_scale_mean","latent_scale_sd","oracle_mean_width","oracle_min_width","oracle_max_width","oracle_training_coverage","oracle_observed_loss","generalized_bayes_target","response_likelihood","response_prediction_contract"
"S03",13,"local_level_gaussian",0.8,200,0.106141957505582,1.25787828790729,1.41955885494514,-4.61855091057338,3.91956612391465,8.53811703448803,3.75608110379211,0.134161693094838,1.6559288373994,1.27761034374935,6.63194418196834,0.639403709593601,1,0,2.5631031310892,2.5631031310892,2.5631031310892,0.815,136.413416990083,TRUE,FALSE,FALSE
"S03",103,"local_level_gaussian",0.8,200,0.309352774528464,1.19524504028609,1.7242562457215,-2.84691002302906,3.19641158207086,6.04332160509992,2.64068261417095,0.33268360863747,1.3775864442712,1.10628070637266,4.1047903876889,0.687143297936645,1,0,2.5631031310892,2.5631031310892,2.5631031310892,0.8,91.3869235089157,TRUE,FALSE,FALSE
"S03",192,"local_level_gaussian",0.8,200,-1.61606637327247,1.05108102014667,1.54516479757983,-4.00546346286508,2.14359639781277,6.14905986067785,3.57694858818838,0.172445029973456,1.35512004117968,1.08333826350416,3.72911325123701,0.52076434247174,1,0,2.5631031310892,2.5631031310892,2.5631031310892,0.83,78.5543584452702,TRUE,FALSE,FALSE
"S04",193,"local_level_gaussian",0.9,200,3.32957732449471,1.61534149188327,2.42951382245329,-1.25499820447399,7.08051099656467,8.33550920103866,2.8381463312898,0.561954942644277,1.49486825459255,1.17967649917433,4.9130848691077,1.27177635729231,1,0,3.28970725390294,3.28970725390294,3.28970725390294,0.9,71.5996073314033,TRUE,FALSE,FALSE
"S04",16,"local_level_gaussian",0.9,200,0.816712358586724,1.48100380648871,2.079803159437,-2.95339741988337,4.4741374768688,7.42753489675217,2.5456448943292,0.493133118992225,1.49087907114086,1.1993162406128,4.15596555265677,1.10347283217007,1,0,3.28970725390294,3.28970725390294,3.28970725390294,0.91,61.3723217114844,TRUE,FALSE,FALSE
"S03",20,"local_level_gaussian",0.8,200,1.18385893728516,1.38859730097381,1.70443307205103,-4.40818526969086,4.29132981285251,8.69951508254336,4.0271172953126,0.375965649287201,1.54404399378027,1.19614913831618,4.4416593387413,0.798085005431503,1,0,2.5631031310892,2.5631031310892,2.5631031310892,0.765,115.775856959132,TRUE,FALSE,FALSE
"S03",117,"local_level_gaussian",0.8,200,0.769140830705853,1.52531053235019,1.83626563020491,-4.73250431983235,3.94255366780457,8.67505798763691,3.60690169893556,0.56816259417698,1.37515179917911,1.09860536541573,3.68174843092757,1.05281225640654,1,0,2.5631031310892,2.5631031310892,2.5631031310892,0.82,93.8076458185518,TRUE,FALSE,FALSE
"S03",28,"local_level_gaussian",0.8,200,0.0634557409883644,1.57173449282627,2.38691713094588,-3.15018988182813,3.95826307195146,7.10845295377959,2.47803133973315,0.609888010284847,1.39092427204515,1.11494055040587,3.63425861471381,1.19978855910429,1,0,2.5631031310892,2.5631031310892,2.5631031310892,0.82,66.662009807862,TRUE,FALSE,FALSE
"S04",39,"local_level_gaussian",0.9,200,0.252984149316487,1.12041026510962,1.49822389667048,-2.55171768274952,3.6527628442666,6.20448052701612,3.03440516462733,0.177753034719117,1.42890586798251,1.12455079690409,4.34321820169249,0.578112166140691,1,0,3.28970725390294,3.28970725390294,3.28970725390294,0.89,62.3823975163647,TRUE,FALSE,FALSE
"S03",121,"local_level_gaussian",0.8,200,1.02668405149212,0.979195437607237,1.35975653827876,-1.72751328721993,3.89342905361886,5.62094234083879,2.92765355313738,0.121293398055886,1.29666446029867,1.06180411954108,3.81167132752205,0.470371401610182,1,0,2.5631031310892,2.5631031310892,2.5631031310892,0.875,72.5678724096981,TRUE,FALSE,FALSE
