cell_id,DGP,coverage,method,role,replication_rule,chains_per_replication,tuning_rule,forecast_horizons,primary_estimands,paired_contrast_group,include_or_omit_reason
C01M01,S01,80,M01,C,C,1/4,a,h,r,p,i
C01M02,S01,80,M02,C,C,2/8,b,h,q,p,i
C01M03,S01,80,M03,A,C,1/4,c,h,r,s,i
C01M04,S01,80,M04,A,C,0,d,h,q,s,i
C01M05,S01,80,M05,B,C,0,e,h,c,p,i
C01M06,S01,80,M06,O,0,0,-,h,-,-,o1
C01M07,S01,80,M07,O,0,0,-,h,-,-,o2
C01M08,S01,80,M08,O,0,0,-,h,-,-,o3
C01M09,S01,80,M09,O,0,0,-,h,-,-,o4
C01M10,S01,80,M10,O,0,0,-,h,-,-,o4
C01M11,S01,80,M11,O,0,0,-,h,-,-,o4
C01M12,S01,80,M12,O,0,0,-,h,-,-,o5
C01M13,S01,80,M13,O,0,0,-,h,-,-,o5
C02M01,S02,90,M01,C,C,1/4,a,h,r,p,i
C02M02,S02,90,M02,C,C,2/8,b,h,q,p,i
C02M03,S02,90,M03,O,0,0,-,h,-,-,o6
C02M04,S02,90,M04,O,0,0,-,h,-,-,o6
C02M05,S02,90,M05,B,C,0,e,h,c,p,i
C02M06,S02,90,M06,O,0,0,-,h,-,-,o1
C02M07,S02,90,M07,O,0,0,-,h,-,-,o2
C02M08,S02,90,M08,O,0,0,-,h,-,-,o3
C02M09,S02,90,M09,O,0,0,-,h,-,-,o4
C02M10,S02,90,M10,O,0,0,-,h,-,-,o4
C02M11,S02,90,M11,O,0,0,-,h,-,-,o4
C02M12,S02,90,M12,O,0,0,-,h,-,-,o5
C02M13,S02,90,M13,O,0,0,-,h,-,-,o5
C03M01,S03,80,M01,C,C,1/4,a,h,r,p,i
C03M02,S03,80,M02,C,C,2/8,b,h,q,p,i
C03M03,S03,80,M03,A,C,1/4,c,h,r,s,i
C03M04,S03,80,M04,A,C,0,d,h,q,s,i
C03M05,S03,80,M05,B,C,0,e,h,c,p,i
C03M06,S03,80,M06,A,C,1/4,f,h,r,f,i
C03M07,S03,80,M07,O,0,0,-,h,-,-,o2
C03M08,S03,80,M08,T,F,1/4,h,h,r,t,x
C03M09,S03,80,M09,O,0,0,-,h,-,-,o4
C03M10,S03,80,M10,O,0,0,-,h,-,-,o4
C03M11,S03,80,M11,O,0,0,-,h,-,-,o4
C03M12,S03,80,M12,O,0,0,-,h,-,-,o5
C03M13,S03,80,M13,O,0,0,-,h,-,-,o5
C04M01,S04,90,M01,C,C,1/4,a,h,r,p,i
C04M02,S04,90,M02,C,C,2/8,b,h,q,p,i
C04M03,S04,90,M03,O,0,0,-,h,-,-,o6
C04M04,S04,90,M04,O,0,0,-,h,-,-,o6
C04M05,S04,90,M05,B,C,0,e,h,c,p,i
C04M06,S04,90,M06,O,0,0,-,h,-,-,o1
C04M07,S04,90,M07,O,0,0,-,h,-,-,o2
C04M08,S04,90,M08,O,0,0,-,h,-,-,o3
