"family","target","endpoint","index","observed","mean_error","median_error","q025_error","q975_error","rmse"
"fixed_design","RQR","lower",1,TRUE,-1.96565244957043,-1.93788510358155,-3.6431993177678,-0.442915468551918,2.12662066725079
"fixed_design","RQR","lower",2,TRUE,-1.94626471484943,-1.91797779925822,-3.61232103324663,-0.434285029464854,2.10647991887098
"fixed_design","RQR","lower",3,TRUE,-1.92695812656976,-1.89870491745392,-3.58142413092584,-0.42495788381639,2.08642628502012
"fixed_design","RQR","lower",4,TRUE,-1.9077326847314,-1.87909576292648,-3.55071287541853,-0.419386919310564,2.06645982788441
"fixed_design","RQR","lower",5,TRUE,-1.88858838933437,-1.85977139140894,-3.52011917852033,-0.411420341238576,2.04658061131551
"fixed_design","RQR","lower",6,TRUE,-1.86952524037867,-1.84091234491394,-3.49089761026419,-0.403523338229642,2.02678870088515
"fixed_design","RQR","lower",7,TRUE,-1.85054323786429,-1.82259533341246,-3.46062609960882,-0.396224894240318,2.00708416394172
"fixed_design","RQR","lower",8,TRUE,-1.83164238179123,-1.80317593179612,-3.42957213020464,-0.386929150939686,1.98746706966923
"fixed_design","RQR","lower",9,TRUE,-1.81282267215949,-1.78488988406256,-3.39997281587047,-0.378083824635722,1.96793748914839
"fixed_design","RQR","lower",10,TRUE,-1.79408410896908,-1.76604635411484,-3.36911271471755,-0.368934114479317,1.94849549542025
"fixed_design","RQR","lower",11,TRUE,-1.77542669221999,-1.74772249487819,-3.33923633464245,-0.362101348008301,1.92914116355222
"fixed_design","RQR","lower",12,TRUE,-1.75685042191222,-1.72865591992265,-3.3095802418585,-0.35550775467071,1.90987457070682
"fixed_design","RQR","lower",13,TRUE,-1.73835529804578,-1.70934074623994,-3.27977259043327,-0.34881157643457,1.89069579621308
"fixed_design","RQR","lower",14,TRUE,-1.71994132062066,-1.69074154810043,-3.24980866780294,-0.341747208437606,1.87160492164087
"fixed_design","RQR","lower",15,TRUE,-1.70160848963686,-1.67288018581048,-3.22124579720245,-0.334636568386729,1.85260203087818
"fixed_design","RQR","lower",16,TRUE,-1.68335680509439,-1.65453175951225,-3.19239798971013,-0.327806538847956,1.83368721021159
"fixed_design","RQR","lower",17,TRUE,-1.66518626699324,-1.63609567213073,-3.16299534984214,-0.319305768987572,1.81486054840998
"fixed_design","RQR","lower",18,TRUE,-1.64709687533341,-1.6183698990772,-3.13460180024581,-0.310369496703811,1.79612213681168
"fixed_design","RQR","lower",19,TRUE,-1.6290886301149,-1.5999500597717,-3.10689540822075,-0.303476276004768,1.77747206941523
"fixed_design","RQR","lower",20,TRUE,-1.61116153133772,-1.5819215075737,-3.07748279041056,-0.295842107440847,1.75891044297388
"fixed_design","RQR","lower",21,TRUE,-1.59331557900187,-1.56378103282795,-3.04943560291645,-0.287392775706793,1.74043735709405
"fixed_design","RQR","lower",22,TRUE,-1.57555077310733,-1.54552574892722,-3.02168137216953,-0.27778278357411,1.72205291433793
"fixed_design","RQR","lower",23,TRUE,-1.55786711365412,-1.52760433434008,-2.99370898711974,-0.269810354441251,1.70375722033035
"fixed_design","RQR","lower",24,TRUE,-1.54026460064223,-1.51042516253346,-2.96617492754118,-0.261464473514185,1.68555038387027
"fixed_design","RQR","lower",25,TRUE,-1.52274323407167,-1.49322124227195,-2.93815510456445,-0.252976989168879,1.66743251704694
"fixed_design","RQR","lower",26,TRUE,-1.50530301394242,-1.47588951672584,-2.91014772068747,-0.243971298964029,1.64940373536107
"fixed_design","RQR","lower",27,TRUE,-1.4879439402545,-1.4574181614971,-2.88281974460961,-0.235713859983241,1.63146415785126
"fixed_design","RQR","lower",28,TRUE,-1.47066601300791,-1.4398732238897,-2.85455902371909,-0.226952301811569,1.61361390722584
"fixed_design","RQR","lower",29,TRUE,-1.45346923220264,-1.42206829188301,-2.82675138100473,-0.217591195406099,1.59585311000052
"fixed_design","RQR","lower",30,TRUE,-1.43635359783869,-1.40547813069736,-2.80088925295675,-0.211541235426547,1.57818189664206
"fixed_design","RQR","lower",31,TRUE,-1.41931910991606,-1.38829797817193,-2.77339612210202,-0.20377313991778,1.5606004017182
"fixed_design","RQR","lower",32,TRUE,-1.40236576843476,-1.3718964617075,-2.74519410729918,-0.196205449548584,1.54310876405438
"fixed_design","RQR","lower",33,TRUE,-1.38549357339478,-1.35422421872925,-2.71967473838289,-0.191428183842875,1.52570712689726
"fixed_design","RQR","lower",34,TRUE,-1.36870252479612,-1.33710157562424,-2.6940833015338,-0.184594155457088,1.50839563808577
"fixed_design","RQR","lower",35,TRUE,-1.35199262263879,-1.31970675201998,-2.66844183553935,-0.176779413356339,1.49117445022966
"fixed_design","RQR","lower",36,TRUE,-1.33536386692278,-1.30309177670385,-2.64103057822951,-0.168614632161881,1.47404372089629
"fixed_design","RQR","lower",37,TRUE,-1.31881625764809,-1.28670734141416,-2.61343004303127,-0.16093626432167,1.45700361280586
"fixed_design","RQR","lower",38,TRUE,-1.30234979481472,-1.27003289244725,-2.58745421667596,-0.155501897767505,1.4400542940356
"fixed_design","RQR","lower",39,TRUE,-1.28596447842268,-1.25365369659449,-2.56154272603032,-0.147297834045523,1.4231959382333
"fixed_design","RQR","lower",40,TRUE,-1.26966030847197,-1.2373801937317,-2.53631427902157,-0.139948861772299,1.40642872484083
"fixed_design","RQR","lower",41,TRUE,-1.25343728496257,-1.2209728782341,-2.5106863483251,-0.132890963257404,1.38975283932796
"fixed_design","RQR","lower",42,TRUE,-1.2372954078945,-1.20482072738083,-2.48404179381731,-0.125225402892734,1.37316847343716
"fixed_design","RQR","lower",43,TRUE,-1.22123467726775,-1.18847570038232,-2.45919218406945,-0.119402924416693,1.35667582543987
"fixed_design","RQR","lower",44,TRUE,-1.20525509308233,-1.17259816244664,-2.43444112622037,-0.113458105603555,1.34027510040496
"fixed_design","RQR","lower",45,TRUE,-1.18935665533822,-1.15658757229298,-2.40986137771394,-0.105952421117307,1.32396651047981
"fixed_design","RQR","lower",46,TRUE,-1.17353936403545,-1.14123431058484,-2.38443301547101,-0.0973482164926836,1.30775027518494
"fixed_design","RQR","lower",47,TRUE,-1.15780321917399,-1.1252329609898,-2.36080777554263,-0.0920449172639883,1.29162662172267
"fixed_design","RQR","lower",48,TRUE,-1.14214822075386,-1.10981726100098,-2.33688466492533,-0.0842881888936579,1.2755957853007
"fixed_design","RQR","lower",49,TRUE,-1.12657436877505,-1.09444895977129,-2.31107988186258,-0.0763809350348333,1.25965800947137
"fixed_design","RQR","lower",50,TRUE,-1.11108166323756,-1.07923067957321,-2.28636519541653,-0.0693498505617002,1.2438135464874
"fixed_design","RQR","lower",51,TRUE,-1.0956701041414,-1.063582399337,-2.26284610673785,-0.0625093872558251,1.22806265767506
"fixed_design","RQR","lower",52,TRUE,-1.08033969148656,-1.04816021349671,-2.23833496806549,-0.0549615692994466,1.2124056138256
"fixed_design","RQR","lower",53,TRUE,-1.06509042527304,-1.03294739254452,-2.21371024944666,-0.0479033448586655,1.19684269560608
"fixed_design","RQR","lower",54,TRUE,-1.04992230550085,-1.01704332397578,-2.18985663909423,-0.0412120894504706,1.18137419399046
"fixed_design","RQR","lower",55,TRUE,-1.03483533216998,-1.00169092052371,-2.16629147295945,-0.033325571141696,1.16600041071221
"fixed_design","RQR","lower",56,TRUE,-1.01982950528043,-0.986771407405042,-2.14323022267729,-0.0267187389768202,1.15072165873947
"fixed_design","RQR","lower",57,TRUE,-1.00490482483221,-0.97158740543351,-2.11992214535809,-0.0182529265004434,1.13553826277412
"fixed_design","RQR","lower",58,TRUE,-0.990061290825306,-0.956628812974621,-2.09787195821689,-0.0115530492776262,1.12045055977584
"fixed_design","RQR","lower",59,TRUE,-0.975298903259729,-0.941759828775346,-2.07544969752795,-0.00346939389409513,1.10545889951277
"fixed_design","RQR","lower",60,TRUE,-0.960617662135475,-0.92646443432042,-2.05163416017362,0.00525092981219718,1.09056364514004
"fixed_design","RQR","lower",61,TRUE,-0.946017567452544,-0.91148546212903,-2.02860352805821,0.0141863578087489,1.07576517380765
"fixed_design","RQR","lower",62,TRUE,-0.931498619210936,-0.89649609709522,-2.0046735466649,0.0218477929835756,1.06106387729949
"fixed_design","RQR","lower",63,TRUE,-0.91706081741065,-0.881786692780912,-1.98238437806416,0.0298680986463658,1.04646016270486
"fixed_design","RQR","lower",64,TRUE,-0.902704162051689,-0.866723539774752,-1.96069718825878,0.0361345338956996,1.03195445312461
"fixed_design","RQR","lower",65,TRUE,-0.88842865313405,-0.85228089071508,-1.93716236930556,0.043358596118976,1.01754718841335
"fixed_design","RQR","lower",66,TRUE,-0.874234290657735,-0.838135878049061,-1.91563806856617,0.0512024523268291,1.00323882596008
"fixed_design","RQR","lower",67,TRUE,-0.860121074622742,-0.824072859265389,-1.89331801450088,0.0589525047210621,0.989029841508819
"fixed_design","RQR","lower",68,TRUE,-0.846089005029073,-0.809514636462502,-1.87162611626744,0.0643782763316967,0.974920730021819
"fixed_design","RQR","lower",69,TRUE,-0.832138081876728,-0.795413855255126,-1.84905085025263,0.0713686199889952,0.960912006587175
"fixed_design","RQR","lower",70,TRUE,-0.818268305165705,-0.781224816562401,-1.82711652559238,0.0777207083928826,0.947004207373413
"fixed_design","RQR","lower",71,TRUE,-0.804479674896005,-0.767455513037246,-1.80611400763493,0.0861355303408668,0.933197890633359
"fixed_design","RQR","lower",72,TRUE,-0.79077219106763,-0.753714668014668,-1.78456595203521,0.0946250474947499,0.91949363775981
"fixed_design","RQR","lower",73,TRUE,-0.777145853680576,-0.739900648144453,-1.76349329179422,0.102643329696706,0.905892054395623
"fixed_design","RQR","lower",74,TRUE,-0.763600662734846,-0.726252139985952,-1.74180555385008,0.109745908165347,0.892393771600911
"fixed_design","RQR","lower",75,TRUE,-0.750136618230439,-0.712546510351288,-1.72040483308928,0.115726299462,0.878999447080109
"fixed_design","RQR","lower",76,TRUE,-0.736753720167356,-0.699683741517064,-1.69928181689404,0.123904793828116,0.86570976647179
"fixed_design","RQR","lower",77,TRUE,-0.723451968545594,-0.686540751990033,-1.67921461987827,0.132140181889177,0.852525444704125
"fixed_design","RQR","lower",78,TRUE,-0.710231363365157,-0.673570612743603,-1.65845771390268,0.140102877668861,0.839447227418995
"fixed_design","RQR","lower",79,TRUE,-0.697091904626044,-0.660903541397577,-1.63819908257892,0.146327849978482,0.82647589246773
"fixed_design","RQR","lower",80,TRUE,-0.684033592328252,-0.647634878112947,-1.6184652182638,0.153864602813585,0.813612251481554
"fixed_design","RQR","lower",81,TRUE,-0.671056426471784,-0.634497152114146,-1.59683370571364,0.159161297361089,0.800857151519728
"fixed_design","RQR","lower",82,TRUE,-0.65816040705664,-0.621691338709438,-1.57517765544998,0.1657971601293,0.788211476798401
"fixed_design","RQR","lower",83,TRUE,-0.645345534082818,-0.609246303856189,-1.55397637670583,0.173216798540103,0.775676150503073
"fixed_design","RQR","lower",84,TRUE,-0.63261180755032,-0.595944307624749,-1.53438357954012,0.180481411429552,0.763252136687489
"fixed_design","RQR","lower",85,TRUE,-0.619959227459144,-0.583366483244116,-1.51475108898711,0.18635354419151,0.750940442261571
"fixed_design","RQR","lower",86,TRUE,-0.607387793809292,-0.570812316695234,-1.49550944171724,0.192474370098711,0.738742119070801
"fixed_design","RQR","lower",87,TRUE,-0.594897506600764,-0.558498994510515,-1.47606639107204,0.200050788905275,0.726658266069139
"fixed_design","RQR","lower",88,TRUE,-0.582488365833557,-0.546082053852807,-1.45716317204689,0.206043588839165,0.714690031587183
"fixed_design","RQR","lower",89,TRUE,-0.570160371507676,-0.53333804661078,-1.4385455440554,0.212177488224031,0.702838615696753
"fixed_design","RQR","lower",90,TRUE,-0.557913523623117,-0.520892569100064,-1.4191576905591,0.219958904795145,0.691105272672516
"fixed_design","RQR","lower",91,TRUE,-0.54574782217988,-0.509031832643918,-1.40032110629754,0.226104185573041,0.679491313550477
"fixed_design","RQR","lower",92,TRUE,-0.533663267177967,-0.497190384024871,-1.38372916232009,0.234205165434691,0.667998108782259
"fixed_design","RQR","lower",93,TRUE,-0.521659858617377,-0.485051597402827,-1.36536649970014,0.24241719267297,0.65662709098302
"fixed_design","RQR","lower",94,TRUE,-0.509737596498111,-0.473576991253495,-1.34748438252927,0.249844265012614,0.645379757769536
"fixed_design","RQR","lower",95,TRUE,-0.497896480820167,-0.462193202790705,-1.32836843115936,0.255897586954468,0.634257674683422
"fixed_design","RQR","lower",96,TRUE,-0.486136511583547,-0.450235022914448,-1.30934603352157,0.263204382022493,0.623262478192679
"fixed_design","RQR","lower",97,TRUE,-0.47445768878825,-0.438693736895095,-1.29222343837243,0.269344898880956,0.612395878762568
"fixed_design","RQR","lower",98,TRUE,-0.462860012434275,-0.427321401295716,-1.27412231037549,0.276144423019842,0.601659663984399
"fixed_design","RQR","lower",99,TRUE,-0.451343482521625,-0.415893387604404,-1.25653655337655,0.283285483465568,0.591055701747871
"fixed_design","RQR","lower",100,TRUE,-0.439908099050298,-0.4044943607045,-1.23883189267867,0.287678635443775,0.58058594343933
"fixed_design","RQR","lower",101,TRUE,-0.428553862020293,-0.393344847684824,-1.22014040644708,0.293552589185086,0.570252427144514
"fixed_design","RQR","lower",102,TRUE,-0.417280771431612,-0.382299774750968,-1.20303247778065,0.299659702809185,0.560057280829935
"fixed_design","RQR","lower",103,TRUE,-0.406088827284253,-0.371276949794399,-1.18609279913706,0.305421583994546,0.550002725472219
"fixed_design","RQR","lower",104,TRUE,-0.394978029578219,-0.360365393068631,-1.16983970188075,0.312364866728698,0.540091078099066
"fixed_design","RQR","lower",105,TRUE,-0.383948378313506,-0.349243534664942,-1.15365633638887,0.318576497720722,0.530324754699288
"fixed_design","RQR","lower",106,TRUE,-0.372999873490118,-0.338756757826832,-1.13721552336819,0.325487313747366,0.520706272952411
"fixed_design","RQR","lower",107,TRUE,-0.362132515108053,-0.328712005124745,-1.1209901598438,0.331046491247279,0.511238254720573
"fixed_design","RQR","lower",108,TRUE,-0.351346303167311,-0.318477027152573,-1.10497440464982,0.337585955134018,0.501923428237009
"fixed_design","RQR","lower",109,TRUE,-0.340641237667892,-0.308068043138598,-1.08964108081583,0.34404600305675,0.492764629916155
"fixed_design","RQR","lower",110,TRUE,-0.330017318609796,-0.298002465670292,-1.07475308381011,0.350565183584002,0.483764805700444
"fixed_design","RQR","lower",111,TRUE,-0.319474545993023,-0.287819828165056,-1.05931797071504,0.357030539080918,0.474927011848253
"fixed_design","RQR","lower",112,TRUE,-0.309012919817573,-0.27754805663718,-1.04521373169015,0.363566244851698,0.466254415056309
"fixed_design","RQR","lower",113,TRUE,-0.298632440083447,-0.267329160715417,-1.03079579562138,0.370214923874631,0.45775029179832
"fixed_design","RQR","lower",114,TRUE,-0.288333106790644,-0.257565142723803,-1.01596072544272,0.376493126233372,0.449418026749925
"fixed_design","RQR","lower",115,TRUE,-0.278114919939163,-0.24802749593811,-1.00187032582569,0.381671447497358,0.441261110158548
"fixed_design","RQR","lower",116,TRUE,-0.267977879529006,-0.238327205439341,-0.987142216976884,0.388163766613816,0.433283134005798
"fixed_design","RQR","lower",117,TRUE,-0.257921985560173,-0.228374160603448,-0.97290212062685,0.394264525907228,0.425487786800182
"fixed_design","RQR","lower",118,TRUE,-0.247947238032662,-0.218889004770923,-0.958986573122217,0.399794817541843,0.417878846829711
"fixed_design","RQR","lower",119,TRUE,-0.238053636946474,-0.209569034901174,-0.944713492963215,0.40628330361918,0.41046017369821
"fixed_design","RQR","lower",120,TRUE,-0.228241182301611,-0.200307541105144,-0.93083797473271,0.412541835188894,0.403235697966619
"fixed_design","RQR","lower",121,TRUE,-0.21850987409807,-0.190620142327221,-0.915759383426886,0.418369986354936,0.3962094087223
"fixed_design","RQR","lower",122,TRUE,-0.208859712335852,-0.180918261370856,-0.902712523847174,0.424070654214112,0.38938533890637
"fixed_design","RQR","lower",123,TRUE,-0.199290697014957,-0.172139058036247,-0.889800845404733,0.431072175457404,0.38276754824249
"fixed_design","RQR","lower",124,TRUE,-0.189802828135385,-0.162713425136825,-0.877867669725345,0.437118557009842,0.37636010363152
"fixed_design","RQR","lower",125,TRUE,-0.180396105697137,-0.153647012571267,-0.865760488931613,0.440886684875012,0.37016705690608
"fixed_design","RQR","lower",126,TRUE,-0.171070529700212,-0.145139892290417,-0.852338836775202,0.447151339631097,0.364192419878374
"fixed_design","RQR","lower",127,TRUE,-0.16182610014461,-0.136182813078688,-0.839023051838237,0.452721792828517,0.358440136664289
"fixed_design","RQR","lower",128,TRUE,-0.152662817030331,-0.127607072766939,-0.825832399471615,0.457627110040878,0.352914053327332
"fixed_design","RQR","lower",129,TRUE,-0.143580680357375,-0.118838041542416,-0.812398688617381,0.46333717337235,0.347617884957231
"fixed_design","RQR","lower",130,TRUE,-0.134579690125743,-0.11027994356363,-0.800725181163179,0.469458960068051,0.342555180379368
"fixed_design","RQR","lower",131,TRUE,-0.125659846335434,-0.101578084480249,-0.790237740355638,0.474330182147536,0.337729284781298
"fixed_design","RQR","lower",132,TRUE,-0.116821148986447,-0.0932392114749529,-0.779427694640648,0.480242808437864,0.333143300639059
"fixed_design","RQR","lower",133,TRUE,-0.108063598078784,-0.084845385802867,-0.768220877011312,0.485384719868986,0.328800047425801
"fixed_design","RQR","lower",134,TRUE,-0.0993871936124444,-0.0762645757176874,-0.757166798475457,0.491626258825517,0.324702020684324
"fixed_design","RQR","lower",135,TRUE,-0.0907919355874273,-0.068382062702589,-0.745511193266194,0.497049273598158,0.320851351138651
"fixed_design","RQR","lower",136,TRUE,-0.0822778240037338,-0.060209563346127,-0.733361971999862,0.50132401504562,0.317249764602276
"fixed_design","RQR","lower",137,TRUE,-0.0738448588613642,-0.0521510314920168,-0.722899463961977,0.507153131875344,0.313898543506489
"fixed_design","RQR","lower",138,TRUE,-0.0654930401603169,-0.04375647257403,-0.712242028149439,0.512913832140002,0.310798490915334
"fixed_design","RQR","lower",139,TRUE,-0.0572223679005924,-0.0360672506819366,-0.700180570938729,0.51821621925139,0.307949897909199
"fixed_design","RQR","lower",140,TRUE,-0.0490328420821919,-0.0282100692957263,-0.689241654784498,0.523380742795203,0.30535251520233
"fixed_design","RQR","lower",141,TRUE,-0.0409244627051141,-0.02006242084533,-0.676851641755938,0.528426435115146,0.303005529808124
"fixed_design","RQR","lower",142,TRUE,-0.0328972297693596,-0.0124357857998631,-0.665778759227137,0.534171327060655,0.300907547478831
"fixed_design","RQR","lower",143,TRUE,-0.0249511432749285,-0.00472945503247443,-0.65626303385453,0.539659355518656,0.299056581524834
"fixed_design","RQR","lower",144,TRUE,-0.01708620322182,0.00319238246247626,-0.646866066721346,0.544925476579184,0.29745004846647
"fixed_design","RQR","lower",145,TRUE,-0.0093024096100353,0.0105379366441557,-0.637617546923716,0.550991226086899,0.296084770794551
"fixed_design","RQR","lower",146,TRUE,-0.00159976243957361,0.0175581831515299,-0.627589647395319,0.55645758999719,0.294956986922036
"fixed_design","RQR","lower",147,TRUE,0.00602173828956469,0.0246204950515767,-0.617449709244811,0.560555082013978,0.294062368208168
