"provider","family","target","estimand","n_chains","n_draws_per_chain","rhat","ess_bulk","ess_tail","mcse_mean","sd","mcse_over_sd","pass"
"posterior","fixed_design","RQR","mean_lower_observed",4,6000,1.0013540183869,2318.00705543966,3738.79197846166,0.0044340674808641,0.213394424345194,0.0207787410307001,TRUE
"posterior","fixed_design","RQR","mean_upper_observed",4,6000,1.00083942399446,4476.63758883441,7511.48895394978,0.000381053294823753,0.0253300182450959,0.0150435460068225,TRUE
"posterior","fixed_design","RQR","mean_width_observed",4,6000,1.00137112889904,2280.81308421586,3810.51988738219,0.00448148518948413,0.213985874083082,0.0209429019961578,TRUE
"posterior","fixed_design","RQR","mean_midpoint_observed",4,6000,1.00132687393087,2387.6256444913,3917.49885980782,0.0022096955327924,0.10789766682455,0.0204795487967828,TRUE
"posterior","fixed_design","RQR","observed_mean_tilted_loss",4,6000,1.00071811020296,4533.20639410859,6942.1233516784,0.0326754579656541,2.10964551792848,0.0154886011360521,TRUE
"posterior","fixed_design","RQR","lower_index_001",4,6000,1.00181955628235,1730.5366543032,3461.39032889166,0.0195013420679003,0.811636222659226,0.0240271953412904,TRUE
"posterior","fixed_design","RQR","upper_index_001",4,6000,1.00082357601519,4107.24580485289,4988.33385087832,0.00126746288454161,0.077824967887942,0.0162860701255488,TRUE
"posterior","fixed_design","RQR","width_index_001",4,6000,1.00205693143256,1682.7644365734,3582.53244734626,0.0197405132567595,0.810282462581109,0.024362508345395,TRUE
"posterior","fixed_design","RQR","lower_index_270",4,6000,1.00217983466824,2487.85944414939,4780.08901780947,0.0059004074081833,0.294001078785951,0.0200693393117755,TRUE
"posterior","fixed_design","RQR","upper_index_270",4,6000,1.00031985363765,4789.30230825457,7320.05542856383,0.000561406767429846,0.0384382669662104,0.0146054130880395,TRUE
"posterior","fixed_design","RQR","width_index_270",4,6000,1.00211021080647,2434.28183967429,4690.26250736668,0.00599830343084122,0.295741297190544,0.0202822652359456,TRUE
"posterior","fixed_design","RQR","lower_index_540",4,6000,1.0009623709669,2828.2063902113,2462.13883624934,0.0135838451021535,0.663723462963351,0.0204661216005612,TRUE
"posterior","fixed_design","RQR","upper_index_540",4,6000,1.00076620540527,4622.47220303208,6787.01997884406,0.000974604818805893,0.0649501235590622,0.0150054344072131,TRUE
"posterior","fixed_design","RQR","width_index_540",4,6000,1.00098478299548,2731.08281833372,2481.31861896288,0.0137845185645272,0.665853897469034,0.0207020167891535,TRUE
"posterior","fixed_design","ET","mean_lower_observed",4,6000,1.00231899040424,2170.00835483068,4745.02069845402,0.00379197310325512,0.176208961547161,0.0215197517195528,TRUE
"posterior","fixed_design","ET","mean_upper_observed",4,6000,1.00241675562841,2632.49534016734,3294.45133044963,0.000935081741818985,0.0451005807512778,0.0207332527928145,TRUE
"posterior","fixed_design","ET","mean_width_observed",4,6000,1.00276522198725,2031.41232576031,4311.77523963996,0.0039974995574412,0.179766255811696,0.0222372076416197,TRUE
"posterior","fixed_design","ET","mean_midpoint_observed",4,6000,1.00187920857813,2361.96163266406,5079.92412859757,0.00189853961327169,0.0919937692165976,0.0206376978510535,TRUE
"posterior","fixed_design","ET","observed_mean_tilted_loss",4,6000,1.00085547849056,3556.46692795959,4817.45801086551,0.0363774984359115,2.05629229548678,0.0176908207630569,TRUE
"posterior","fixed_design","ET","lower_index_001",4,6000,1.00133788214063,2704.16038936347,5071.12987989579,0.00974463326157871,0.508479640767008,0.019164254535107,TRUE
"posterior","fixed_design","ET","upper_index_001",4,6000,1.00265384201031,2850.82510786067,3092.86786474245,0.00279447201691308,0.134856131363347,0.0207218758884893,TRUE
"posterior","fixed_design","ET","width_index_001",4,6000,1.00229926846273,2426.02743677925,4855.23220363901,0.0105027398607969,0.519731029187911,0.0202080292900881,TRUE
"posterior","fixed_design","ET","lower_index_270",4,6000,1.00108036023289,2813.70538941095,6872.96210724277,0.00391518982527088,0.208450409703174,0.0187823561049651,TRUE
"posterior","fixed_design","ET","upper_index_270",4,6000,1.00053897676968,3340.04567379552,4005.34411310089,0.00113383830592543,0.0615569963366717,0.018419324746194,TRUE
"posterior","fixed_design","ET","width_index_270",4,6000,1.00125900385254,2671.76152296993,6624.96467608631,0.0041301709650361,0.213962951516612,0.0193032061661172,TRUE
"posterior","fixed_design","ET","lower_index_540",4,6000,1.00061359390709,2154.21438848218,2716.17563583765,0.0149771500948531,0.655133960832444,0.0228612024261763,TRUE
"posterior","fixed_design","ET","upper_index_540",4,6000,1.00084037109867,3511.15213804194,4177.43875630936,0.00187719429001659,0.104673602961683,0.0179337888149676,TRUE
"posterior","fixed_design","ET","width_index_540",4,6000,1.00058350502155,2100.44702445378,2575.8884795579,0.0152117626148236,0.658303699528011,0.0231075150052021,TRUE
"posterior","fixed_design","SH","mean_lower_observed",4,6000,1.00150913861832,3053.73642304692,5871.71216537598,0.00213216245092384,0.117789041164369,0.0181015349972032,TRUE
"posterior","fixed_design","SH","mean_upper_observed",4,6000,1.01948426249562,487.437626285964,700.74452250035,0.00860640659842429,0.181722790327209,0.0473600839109264,TRUE
"posterior","fixed_design","SH","mean_width_observed",4,6000,1.01264141203216,592.690301663944,791.709215027947,0.009022302730083,0.210763699467587,0.042807669218534,TRUE
"posterior","fixed_design","SH","mean_midpoint_observed",4,6000,1.01516197348159,703.25538223954,1007.59207166379,0.00440093534043366,0.111100770105559,0.0396121047248571,TRUE
"posterior","fixed_design","SH","observed_mean_tilted_loss",4,6000,1.0069302969552,1220.15692908878,2558.8329315877,0.0571397445594739,1.9297072755921,0.0296105763201528,TRUE
"posterior","fixed_design","SH","lower_index_001",4,6000,1.00101441155379,3008.75749939228,4991.34401892413,0.00685878942094669,0.37660513263344,0.0182121506761899,TRUE
