"family","target","chain","seed","n_draws","numerical_repair_count","elapsed_seconds","root_swap_fraction","profile","exact_joint_target","target_numerical_eligible","reproducibility_eligible","promotion_eligible","primary_runtime_source_match"
"fixed_design","RQR",1,202607411,6000,0,71.268,0.751333333333333,"seed_only",TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","RQR",2,202617411,6000,0,73.617,0.744266666666667,"seed_only",TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","RQR",3,202627411,6000,0,68.429,0.7504,"seed_only",TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","RQR",4,202637411,6000,0,74.46,0.7492,"seed_only",TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","ET",1,202607511,6000,0,72.64,0.751466666666667,"seed_only",TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","ET",2,202617511,6000,0,76.808,0.7508,"seed_only",TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","ET",3,202627511,6000,0,70.859,0.745466666666667,"seed_only",TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","ET",4,202637511,6000,0,72.763,0.7428,"seed_only",TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","SH",1,202607611,6000,0,68.76,0.747333333333333,"seed_only",TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","SH",2,202617611,6000,0,72.469,0.749866666666667,"seed_only",TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","SH",3,202627611,6000,0,75.95,0.748133333333333,"seed_only",TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","SH",4,202637611,6000,0,71.944,0.7468,"seed_only",TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","RQR",1,202607412,6000,0,1672.817,0.500235294117647,"default",TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","RQR",2,202617412,6000,0,1626.546,0.501882352941176,"oracle_centered",TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","RQR",3,202627412,6000,0,1685.019,0.497764705882353,"narrow",TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","RQR",4,202637412,6000,0,1674.834,0.500235294117647,"wide",TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","RQR",5,202647412,6000,0,1707.611,0.504823529411765,"slope_stress",TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","ET",1,202607512,6000,0,1755.756,0.497529411764706,"default",TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","ET",2,202617512,6000,0,1755.496,0.500941176470588,"oracle_centered",TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","ET",3,202627512,6000,0,1706.806,0.513411764705882,"narrow",TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","ET",4,202637512,6000,0,1781.65,0.492588235294118,"wide",TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","ET",5,202647512,6000,0,1767.325,0.505176470588235,"slope_stress",TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","SH",1,202607612,6000,0,1770.163,0.499058823529412,"default",TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","SH",2,202617612,6000,0,1690.245,0.500470588235294,"oracle_centered",TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","SH",3,202627612,6000,0,1606.579,0.497647058823529,"narrow",TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","SH",4,202637612,6000,0,1636.004,0.497882352941176,"wide",TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","SH",5,202647612,6000,0,1604.069,0.507294117647059,"slope_stress",TRUE,TRUE,TRUE,TRUE,TRUE
