"initial_level_variance","initial_slope_variance","q_level","q_slope","initial_level_half_width","terminal_level_variance","terminal_level_half_width","terminal_root_difference_sd","terminal_slope_half_width","pass","selected"
0.5,0.1,0.01,0.02,1.38590382434968,0.616666666666667,1.53912299901428,1.11055541659718,0.678951440445703,FALSE,FALSE
1,0.1,0.01,0.02,1.95996398454005,1.11666666666667,2.07114195950972,1.49443411809733,0.678951440445703,FALSE,FALSE
2,0.1,0.01,0.02,2.77180764869936,2.11666666666667,2.8515062400661,2.05750658160146,0.678951440445703,FALSE,FALSE
0.5,0.25,0.01,0.02,1.38590382434968,0.766666666666667,1.71613473515305,1.23827837473378,1.01842716066855,FALSE,FALSE
1,0.25,0.01,0.02,1.95996398454005,1.26666666666667,2.20586668671203,1.59164485150844,1.01842716066855,TRUE,FALSE
2,0.25,0.01,0.02,2.77180764869936,2.26666666666667,2.95081457571295,2.12916258968951,1.01842716066855,FALSE,FALSE
0.5,0.5,0.01,0.02,1.38590382434968,1.01666666666667,1.97622952471932,1.42594997574716,1.41335012886437,FALSE,FALSE
1,0.5,0.01,0.02,1.95996398454005,1.51666666666667,2.41375486425598,1.74164673034842,1.41335012886437,FALSE,FALSE
2,0.5,0.01,0.02,2.77180764869936,2.51666666666667,3.10928791934963,2.24350915606185,1.41335012886437,FALSE,FALSE
0.5,0.1,0.02,0.02,1.38590382434968,0.626666666666667,1.5515521887135,1.11952370824978,0.678951440445703,FALSE,FALSE
1,0.1,0.02,0.02,1.95996398454005,1.12666666666667,2.08039505975397,1.50111069989303,0.678951440445703,FALSE,FALSE
2,0.1,0.02,0.02,2.77180764869936,2.12666666666667,2.85823414459747,2.0623611064344,0.678951440445703,FALSE,FALSE
0.5,0.25,0.02,0.02,1.38590382434968,0.776666666666667,1.72729065805549,1.24632793972266,1.01842716066855,FALSE,FALSE
1,0.25,0.02,0.02,1.95996398454005,1.27666666666667,2.21455693712147,1.59791530856092,1.01842716066855,TRUE,FALSE
2,0.25,0.02,0.02,2.77180764869936,2.27666666666667,2.95731656209594,2.1338541031039,1.01842716066855,FALSE,FALSE
0.5,0.5,0.02,0.02,1.38590382434968,1.02666666666667,1.98592490355988,1.43294568401365,1.41335012886437,FALSE,FALSE
1,0.5,0.02,0.02,1.95996398454005,1.52666666666667,2.42169922428991,1.74737898961082,1.41335012886437,FALSE,FALSE
2,0.5,0.02,0.02,2.77180764869936,2.52666666666667,3.11545918824505,2.24796204001165,1.41335012886437,FALSE,FALSE
0.5,0.1,0.04,0.02,1.38590382434968,0.646666666666667,1.57611654731353,1.13724814061547,0.678951440445703,FALSE,FALSE
1,0.1,0.04,0.02,1.95996398454005,1.14666666666667,2.09877887855357,1.51437555888007,0.678951440445703,FALSE,FALSE
2,0.1,0.04,0.02,2.77180764869936,2.14666666666667,2.8716426660984,2.07203603572267,0.678951440445703,FALSE,FALSE
0.5,0.25,0.04,0.02,1.38590382434968,0.796666666666667,1.74938909160302,1.26227308191743,1.01842716066855,FALSE,FALSE
1,0.25,0.04,0.02,1.95996398454005,1.29666666666667,2.23183592680258,1.61038297722415,1.01842716066855,TRUE,FALSE
2,0.25,0.04,0.02,2.77180764869936,2.29666666666667,2.97027783630771,2.14320632075713,1.01842716066855,FALSE,FALSE
0.5,0.5,0.04,0.02,1.38590382434968,1.04666666666667,2.00517502951567,1.44683562761405,1.41335012886437,FALSE,FALSE
1,0.5,0.04,0.02,1.95996398454005,1.54666666666667,2.43751026856099,1.75878746110306,1.41335012886437,FALSE,FALSE
2,0.5,0.04,0.02,2.77180764869936,2.54666666666667,3.12776519739484,2.25684145064143,1.41335012886437,FALSE,FALSE
0.5,0.1,0.01,0.04,1.38590382434968,0.623333333333333,1.5474202181586,1.11654228162962,0.733351372056518,FALSE,FALSE
1,0.1,0.01,0.04,1.95996398454005,1.12333333333333,2.0773152726327,1.49888847706114,0.733351372056518,FALSE,FALSE
2,0.1,0.01,0.04,2.77180764869936,2.12333333333333,2.85599327075664,2.06074420214316,0.733351372056518,FALSE,FALSE
0.5,0.25,0.01,0.04,1.38590382434968,0.773333333333333,1.72358004011131,1.24365054041184,1.05547290727962,FALSE,FALSE
1,0.25,0.01,0.04,1.95996398454005,1.27333333333333,2.21166398103717,1.59582789381144,1.05547290727962,TRUE,FALSE
2,0.25,0.01,0.04,2.77180764869936,2.27333333333333,2.95515082283651,2.13229141222926,1.05547290727962,FALSE,FALSE
0.5,0.5,0.01,0.04,1.38590382434968,1.02333333333333,1.98269837843371,1.43061758225833,1.44027350290659,FALSE,FALSE
1,0.5,0.01,0.04,1.95996398454005,1.52333333333333,2.41905400315717,1.74547032821147,1.44027350290659,FALSE,FALSE
2,0.5,0.01,0.04,2.77180764869936,2.52333333333333,3.11340345777492,2.2464787260659,1.44027350290659,FALSE,FALSE
0.5,0.1,0.02,0.04,1.38590382434968,0.633333333333333,1.55978329256757,1.12546286774228,0.733351372056518,FALSE,FALSE
1,0.1,0.02,0.04,1.95996398454005,1.13333333333333,2.08654099651073,1.50554530541816,0.733351372056518,FALSE,FALSE
2,0.1,0.02,0.04,2.77180764869936,2.13333333333333,2.86271062994745,2.06559111797729,0.733351372056518,FALSE,FALSE
0.5,0.25,0.02,0.04,1.38590382434968,0.783333333333333,1.73468808230098,1.25166555703457,1.05547290727962,FALSE,FALSE
1,0.25,0.02,0.04,1.95996398454005,1.28333333333333,2.2203315412848,1.60208197875972,1.05547290727962,TRUE,FALSE
2,0.25,0.02,0.04,2.77180764869936,2.28333333333333,2.96164328944562,2.13697605664328,1.05547290727962,FALSE,FALSE
0.5,0.5,0.02,0.04,1.38590382434968,1.03333333333333,1.99236227831451,1.43759057685652,1.44027350290659,FALSE,FALSE
1,0.5,0.02,0.04,1.95996398454005,1.53333333333333,2.426981017313,1.75119007154183,1.44027350290659,FALSE,FALSE
2,0.5,0.02,0.04,2.77180764869936,2.53333333333333,3.11956658513515,2.25092573548455,1.44027350290659,FALSE,FALSE
0.5,0.1,0.04,0.04,1.38590382434968,0.653333333333333,1.58422002770664,1.14309521329882,0.733351372056518,FALSE,FALSE
1,0.1,0.04,0.04,1.95996398454005,1.15333333333333,2.10487113775022,1.51877143331927,0.733351372056518,FALSE,FALSE
2,0.1,0.04,0.04,2.77180764869936,2.15333333333333,2.87609828191389,2.07525098883645,0.733351372056518,FALSE,FALSE
0.5,0.25,0.04,0.04,1.38590382434968,0.803333333333333,1.75669346195941,1.2675435561221,1.05547290727962,FALSE,FALSE
1,0.25,0.04,0.04,1.95996398454005,1.30333333333333,2.23756593861231,1.61451747177498,1.05547290727962,TRUE,FALSE
2,0.25,0.04,0.04,2.77180764869936,2.30333333333333,2.9745857107053,2.14631467093403,1.05547290727962,FALSE,FALSE
0.5,0.5,0.04,0.04,1.38590382434968,1.05333333333333,2.01155080086596,1.45143607047182,1.44027350290659,FALSE,FALSE
1,0.5,0.04,0.04,1.95996398454005,1.55333333333333,2.44275787478242,1.7625738755203,1.44027350290659,FALSE,FALSE
2,0.5,0.04,0.04,2.77180764869936,2.55333333333333,3.13185645512461,2.25979350089044,1.44027350290659,FALSE,FALSE
0.5,0.1,0.01,0.09,1.38590382434968,0.64,1.56797118763204,1.13137084989848,0.854328494158941,FALSE,FALSE
1,0.1,0.01,0.09,1.95996398454005,1.14,2.09266888340972,1.50996688705415,0.854328494158941,TRUE,FALSE
