"family","target","endpoint","mean_error","median_error","q025_error","q25_error","q75_error","q975_error","rmse","mean_abs_error"
"fixed_design","RQR","lower",-0.0772221629944286,-0.0821171943545588,-0.74148190729004,-0.277525478561202,0.133077022638997,0.559255802996413,0.335500702825733,0.261982207449794
"fixed_design","RQR","upper",-0.0288219310343843,-0.0381568710103889,-0.126090472887007,-0.0714573805133043,0.00312311529264944,0.12521953139072,0.0697830442092063,0.0567705149274897
"fixed_design","ET","lower",0.0754203268661682,0.0797574456285901,-0.269862521821188,-0.0310562071783415,0.1859398244992,0.396427282312404,0.18468359879133,0.146759231923047
"fixed_design","ET","upper",-0.0304283675018717,-0.0440598922348405,-0.1652020167577,-0.0911317818631436,0.0122946089467069,0.196865978540019,0.0957160408342465,0.0761503600208457
"fixed_design","SH","lower",0.0781594296594641,0.0815562621789595,-0.166294776286346,0.00435794528007985,0.155524857520589,0.30221934290996,0.142414215104793,0.114931589336005
"fixed_design","SH","upper",-0.0215289709180657,-0.0546117018286479,-0.247402313520863,-0.133108729877331,0.0503356724717582,0.409037070283617,0.168904449507698,0.127859726125156
"dlm","RQR","lower",-0.0706749453765052,-0.0590808147320927,-0.566201693570552,-0.237343818058916,0.101734036758803,0.387135279231811,0.255517007522643,0.202828935465125
"dlm","RQR","upper",0.0143222575802307,0.0114892771222171,-0.120990154537702,-0.0356907263890934,0.0612923403299207,0.165980489206627,0.0743263927972944,0.0585729559849075
"dlm","ET","lower",0.0562618946635846,0.0689025792515419,-0.269508254880201,-0.0363342174025593,0.160425426326125,0.319445228204519,0.160487615306836,0.130370204143675
"dlm","ET","upper",0.0150293170081792,0.0108026420297876,-0.145021468382824,-0.0452775302584217,0.0711500771451677,0.197428514484767,0.0885934840145034,0.0697960240123708
"dlm","SH","lower",-0.00416142083400859,-0.00273585135474561,-0.236724360925715,-0.0769032450141687,0.0715765779210965,0.213805796169227,0.113955543597065,0.0895832473522546
"dlm","SH","upper",0.0230138107631642,0.0148310976002583,-0.194645514519287,-0.0631235465979851,0.0993713960417748,0.289664246426575,0.126072347328005,0.0980619543126718
