"family","target","chain","profile","n_burn","n_mcmc","cell","learning_rate_mode","tilt_source","cornish_fisher_used","seed"
"fixed_design","RQR",1,"seed_only",1500,6000,"fixed_design/RQR","fixed_rate","exact_population_oracle",FALSE,202607411
"fixed_design","RQR",2,"seed_only",1500,6000,"fixed_design/RQR","fixed_rate","exact_population_oracle",FALSE,202617411
"fixed_design","RQR",3,"seed_only",1500,6000,"fixed_design/RQR","fixed_rate","exact_population_oracle",FALSE,202627411
"fixed_design","RQR",4,"seed_only",1500,6000,"fixed_design/RQR","fixed_rate","exact_population_oracle",FALSE,202637411
"dlm","RQR",1,"default",2500,6000,"dlm/RQR","fixed_rate","exact_population_oracle",FALSE,202607412
"dlm","RQR",2,"oracle_centered",2500,6000,"dlm/RQR","fixed_rate","exact_population_oracle",FALSE,202617412
"dlm","RQR",3,"narrow",2500,6000,"dlm/RQR","fixed_rate","exact_population_oracle",FALSE,202627412
"dlm","RQR",4,"wide",2500,6000,"dlm/RQR","fixed_rate","exact_population_oracle",FALSE,202637412
"dlm","RQR",5,"slope_stress",2500,6000,"dlm/RQR","fixed_rate","exact_population_oracle",FALSE,202647412
"fixed_design","ET",1,"seed_only",1500,6000,"fixed_design/ET","fixed_rate","exact_population_oracle",FALSE,202607511
"fixed_design","ET",2,"seed_only",1500,6000,"fixed_design/ET","fixed_rate","exact_population_oracle",FALSE,202617511
"fixed_design","ET",3,"seed_only",1500,6000,"fixed_design/ET","fixed_rate","exact_population_oracle",FALSE,202627511
"fixed_design","ET",4,"seed_only",1500,6000,"fixed_design/ET","fixed_rate","exact_population_oracle",FALSE,202637511
"dlm","ET",1,"default",2500,6000,"dlm/ET","fixed_rate","exact_population_oracle",FALSE,202607512
"dlm","ET",2,"oracle_centered",2500,6000,"dlm/ET","fixed_rate","exact_population_oracle",FALSE,202617512
"dlm","ET",3,"narrow",2500,6000,"dlm/ET","fixed_rate","exact_population_oracle",FALSE,202627512
"dlm","ET",4,"wide",2500,6000,"dlm/ET","fixed_rate","exact_population_oracle",FALSE,202637512
"dlm","ET",5,"slope_stress",2500,6000,"dlm/ET","fixed_rate","exact_population_oracle",FALSE,202647512
"fixed_design","SH",1,"seed_only",1500,6000,"fixed_design/SH","fixed_rate","exact_population_oracle",FALSE,202607611
"fixed_design","SH",2,"seed_only",1500,6000,"fixed_design/SH","fixed_rate","exact_population_oracle",FALSE,202617611
"fixed_design","SH",3,"seed_only",1500,6000,"fixed_design/SH","fixed_rate","exact_population_oracle",FALSE,202627611
"fixed_design","SH",4,"seed_only",1500,6000,"fixed_design/SH","fixed_rate","exact_population_oracle",FALSE,202637611
"dlm","SH",1,"default",2500,6000,"dlm/SH","fixed_rate","exact_population_oracle",FALSE,202607612
"dlm","SH",2,"oracle_centered",2500,6000,"dlm/SH","fixed_rate","exact_population_oracle",FALSE,202617612
"dlm","SH",3,"narrow",2500,6000,"dlm/SH","fixed_rate","exact_population_oracle",FALSE,202627612
"dlm","SH",4,"wide",2500,6000,"dlm/SH","fixed_rate","exact_population_oracle",FALSE,202637612
"dlm","SH",5,"slope_stress",2500,6000,"dlm/SH","fixed_rate","exact_population_oracle",FALSE,202647612
