"provider","family","target","estimand","n_chains","n_draws_per_chain","rhat","ess_bulk","ess_tail","mcse_mean","sd","mcse_over_sd","pass"
"posterior","fixed_design","RQR","mean_lower_observed",4,6000,1.00076720890303,4135.73300079632,8556.53760775597,0.00125355731366059,0.0805549074363036,0.0155615263371981,TRUE
"posterior","fixed_design","RQR","mean_upper_observed",4,6000,1.00032478781579,4918.38234633161,9580.20769690944,0.000346152426939118,0.024276495295804,0.0142587479255685,TRUE
"posterior","fixed_design","RQR","mean_width_observed",4,6000,1.00045773910455,3801.16105522364,7852.52593555392,0.00136686328064432,0.0842326644000351,0.016227235483765,TRUE
"posterior","fixed_design","RQR","mean_midpoint_observed",4,6000,1.00100122177615,4682.0131580762,9570.25072801415,0.000614552759222639,0.0420170825971662,0.0146262596362197,TRUE
"posterior","fixed_design","RQR","observed_mean_tilted_loss",4,6000,1.00049601765102,7487.74081150092,12765.2641490658,0.0340698921102367,2.92320462963882,0.0116549802106896,TRUE
"posterior","fixed_design","RQR","lower_0001",4,6000,1.00101260250233,4141.31957915048,9636.29813184703,0.0112046366876101,0.719150129649491,0.0155803861052923,TRUE
"posterior","fixed_design","RQR","upper_0001",4,6000,1.00053839822835,5365.47636038025,7244.91223804023,0.00280756159047121,0.199567572241934,0.0140682254082222,TRUE
"posterior","fixed_design","RQR","width_0001",4,6000,1.00097441320901,3723.6074223218,8535.33511567746,0.0120881810812255,0.735658799991263,0.0164317766352677,TRUE
"posterior","fixed_design","RQR","midpoint_0001",4,6000,1.00098349213854,4823.13726089695,10568.6937362887,0.00547407815529876,0.378422508489603,0.014465519445837,TRUE
"posterior","fixed_design","RQR","lower_0121",4,6000,1.00129002090107,3850.64842144838,6373.54483484907,0.00469163424675548,0.283340314797013,0.0165583011020391,TRUE
"posterior","fixed_design","RQR","upper_0121",4,6000,1.00033634397989,4921.3181968943,8617.37184467021,0.00114404275356441,0.0800705664263422,0.0142879313163949,TRUE
"posterior","fixed_design","RQR","width_0121",4,6000,1.00121461923863,3635.76165272906,6114.61247353117,0.00495361575369241,0.291323529072326,0.0170038299668634,TRUE
"posterior","fixed_design","RQR","midpoint_0121",4,6000,1.00121431199721,4277.28898467492,7261.85607813161,0.00232110888685365,0.148758748148687,0.0156031757173277,TRUE
"posterior","fixed_design","RQR","lower_0241",4,6000,1.00098785681931,4394.86286453902,7534.54323652469,0.00376563968790628,0.248227897321265,0.0151700905842693,TRUE
"posterior","fixed_design","RQR","upper_0241",4,6000,1.00086776243329,4749.54260787577,9166.41256981381,0.00119338344427359,0.0822064742515761,0.0145169033842941,TRUE
"posterior","fixed_design","RQR","width_0241",4,6000,1.00107476066913,4049.06036361197,7573.04776732084,0.00412136356515953,0.26177915219332,0.0157436661041517,TRUE
"posterior","fixed_design","RQR","midpoint_0241",4,6000,1.0007391890815,4859.37581187255,7994.44829702098,0.00188418729971917,0.130596384245286,0.0144275609972501,TRUE
"posterior","fixed_design","RQR","lower_0361",4,6000,1.000282150929,4885.4238347537,8780.22654863832,0.00264096245934248,0.184805772823863,0.0142904759899441,TRUE
"posterior","fixed_design","RQR","upper_0361",4,6000,1.00104947316613,4620.39708044952,8111.08125631272,0.000998664560357238,0.0678885599831965,0.0147103512079859,TRUE
"posterior","fixed_design","RQR","width_0361",4,6000,1.0006448507113,4374.9418658717,7957.97903315323,0.00297469330292419,0.196922153954988,0.0151059352296346,TRUE
"posterior","fixed_design","RQR","midpoint_0361",4,6000,1.00012147648819,5465.43505158215,9755.94137528518,0.00133180666459324,0.0984196700016859,0.013531915566984,TRUE
"posterior","fixed_design","RQR","lower_0481",4,6000,1.00026442653834,4794.2108866832,7912.41583521905,0.00282551272822897,0.194944150048777,0.0144939600779095,TRUE
"posterior","fixed_design","RQR","upper_0481",4,6000,1.00106485064352,4757.54344993517,8251.55813149389,0.000952943115094048,0.0655560109632203,0.014536319417432,TRUE
