"family","target","chain","profile","seed","resumed","path","bytes","sha256","contract_digest","storage_contract"
"fixed_design","RQR",1,"moment_centered",202608111,FALSE,"worker_results/fixed_design_rqr_chain01.rds",234910880,"4db45a20d20a01a7f8d33d5d00eba0c7244672ff3815bad286934445789904e5","2bab2ec7205ba02c7d41a978bb8b87a3284d34749079bb3ae26ffafb5f52fd3c","ordered_endpoints_only"
"fixed_design","RQR",2,"moment_narrow",202618111,FALSE,"worker_results/fixed_design_rqr_chain02.rds",234910876,"bf494869314133e83006953442fd4f1c3edb849ec5aa1042d1ecedfe1d6b0852","13ff146e3a8c6d9cd2ef16fcc02a34a378313a2586401a3d7317221a32c5f4bb","ordered_endpoints_only"
"fixed_design","RQR",3,"moment_wide",202628111,FALSE,"worker_results/fixed_design_rqr_chain03.rds",234910872,"5441e09539ef28274329d4abd405cb605c2d40f1bc4b51dad40c56385d161e8e","2a938ab2794ea07243e37caf2f3d9ea968b3bf5850947570b32418e72e1e91c0","ordered_endpoints_only"
"fixed_design","RQR",4,"moment_shape_stress",202638111,FALSE,"worker_results/fixed_design_rqr_chain04.rds",234910888,"13e97dda6275ad086bd1de23140aba201478e86f1e32e45e9aa932fb93a8bba4","688fe89a2f632ed13f42be96bd0b8d3112501ca010148491bc351127523d039c","ordered_endpoints_only"
"dlm","RQR",1,"default",202608112,FALSE,"worker_results/dlm_rqr_chain01.rds",121805229,"fb094985a5a58b0c414b6f1af6922d5e538ca3d7415f5cc818491dc387fce983","32e47358142e240cf43120aef0e5cf2ffd2788bbed159e8d211bbfe456e60a7e","ordered_endpoints_only"
"dlm","RQR",2,"oracle_centered",202618112,FALSE,"worker_results/dlm_rqr_chain02.rds",121805245,"95d3127ad588d6d154a0f221458c422fbf63aa60f54bdc28fbb57abf5d6097bb","d068d1fbb99ae16a82b261589a0ca24581723899aa170242dde239cfc4aa284f","ordered_endpoints_only"
"dlm","RQR",3,"narrow",202628112,FALSE,"worker_results/dlm_rqr_chain03.rds",121805227,"16305147229c1ceda247ffad85f2863730f7d4ae3435fd6d09e797afc9b6a43b","7f8375d93818b2778f57684ad63ad23d77ab58f0285e03e7e8ac6abd25f9d5a0","ordered_endpoints_only"
"dlm","RQR",4,"wide",202638112,FALSE,"worker_results/dlm_rqr_chain04.rds",121805223,"d5277787be95b0ac637585b5ac7cc3bb452ab0535ea8b8f53c59ca7b46150331","b62bd607a6ef299a1bf659626e860f79413d291c51304566890f8681ee90f8bd","ordered_endpoints_only"
"dlm","RQR",5,"trend_seasonal_stress",202648112,FALSE,"worker_results/dlm_rqr_chain05.rds",121805257,"d14c8380d8e5d769eb746ec50ee3f43e219e03abb6442272b39ae00ca182fcc6","74982088bfa3f3f36c3dc5c01f7eec8c93401b5ced5c033e179af82a9356c136","ordered_endpoints_only"
"fixed_design","ET",1,"moment_centered",202608211,FALSE,"worker_results/fixed_design_et_chain01.rds",234910875,"1a530555b2eef2ac99ce30f7fb2665b7b3afc0fdbba3d634627024c194c54abd","bfedaadfe5f4bfd3814b09856300dbb78b9013d7f3d39146f1372477be1d2df1","ordered_endpoints_only"
